DexNum,Name,AbilityTextDump
14,Kakuna,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/shedskin.shtml""><b>Shed Skin</b></a>: Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE). </td>"
15,Beedrill,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/swarm.shtml""><b>Swarm</b></a>: When HP is below 1/3rd its maximum, power of Bug-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/sniper.shtml""><b>Sniper</b></a>: Power of critical-hit moves is increased to 225% rather than 150%. </td>"
16,Pidgey,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/keeneye.shtml""><b>Keen Eye</b></a>: Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent <br>
<a href=""/abilitydex/tangledfeet.shtml""><b>Tangled Feet</b></a>: Pokémon’s evasion raises one level when Confused. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/bigpecks.shtml""><b>Big Pecks</b></a>: Protects the Pokémon from Defense-lowering effects. </td>"
17,Pidgeotto,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/keeneye.shtml""><b>Keen Eye</b></a>: Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent <br>
<a href=""/abilitydex/tangledfeet.shtml""><b>Tangled Feet</b></a>: Pokémon’s evasion raises one level when Confused. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/bigpecks.shtml""><b>Big Pecks</b></a>: Protects the Pokémon from Defense-lowering effects. </td>"
18,Pidgeot,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/keeneye.shtml""><b>Keen Eye</b></a>: Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent <br>
<a href=""/abilitydex/tangledfeet.shtml""><b>Tangled Feet</b></a>: Pokémon’s evasion raises one level when Confused. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/bigpecks.shtml""><b>Big Pecks</b></a>: Protects the Pokémon from Defense-lowering effects. </td>"
19,Rattata,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/runaway.shtml""><b>Run Away</b></a>: Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability. <br>
<a href=""/abilitydex/guts.shtml""><b>Guts</b></a>: Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied. <br>
<b>Hidden Ability</b>: <i>(Available through transfer)</i><br><a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. <br>
<b>Alola Form Abilities</b>:<br><a href=""/abilitydex/gluttony.shtml""><b>Gluttony</b></a>: The Pokémon will use a berry when its Hit Points are below 50%. <br>
<a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. <br>
<b>Hidden Ability</b>:  <i>(Available)</i><br><a href=""/abilitydex/thickfat.shtml""><b>Thick Fat</b></a>: Fire and Ice-type moves deal 50% damage. </td>"
20,Raticate,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/runaway.shtml""><b>Run Away</b></a>: Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability. <br>
<a href=""/abilitydex/guts.shtml""><b>Guts</b></a>: Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied. <br>
<b>Hidden Ability</b>: <i>(Available through transfer)</i><br><a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. <br>
<b>Alola Form Abilities</b>:<br><a href=""/abilitydex/gluttony.shtml""><b>Gluttony</b></a>: The Pokémon will use a berry when its Hit Points are below 50%. <br>
<a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. <br>
<b>Hidden Ability</b>:  <i>(Available)</i><br><a href=""/abilitydex/thickfat.shtml""><b>Thick Fat</b></a>: Fire and Ice-type moves deal 50% damage. </td>"
21,Spearow,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/keeneye.shtml""><b>Keen Eye</b></a>: Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/sniper.shtml""><b>Sniper</b></a>: Power of critical-hit moves is increased to 225% rather than 150%. </td>"
22,Fearow,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/keeneye.shtml""><b>Keen Eye</b></a>: Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/sniper.shtml""><b>Sniper</b></a>: Power of critical-hit moves is increased to 225% rather than 150%. </td>"
23,Ekans,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/intimidate.shtml""><b>Intimidate</b></a>: Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches. Opponents in S.O.S. Battles are more likely to call for help. <br>
<a href=""/abilitydex/shedskin.shtml""><b>Shed Skin</b></a>: Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE). <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/unnerve.shtml""><b>Unnerve</b></a>: The opponent Pokémon will never use their held Berry while the Pokémon is in battle. Opponents in S.O.S. Battles are more likely to call for help. </td>"
24,Arbok,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/intimidate.shtml""><b>Intimidate</b></a>: Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches. Opponents in S.O.S. Battles are more likely to call for help. <br>
<a href=""/abilitydex/shedskin.shtml""><b>Shed Skin</b></a>: Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE). <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/unnerve.shtml""><b>Unnerve</b></a>: The opponent Pokémon will never use their held Berry while the Pokémon is in battle. Opponents in S.O.S. Battles are more likely to call for help. </td>"
25,Pikachu,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/static.shtml""><b>Static</b></a>: The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/lightningrod.shtml""><b>Lightning Rod</b></a>: Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage. </td>"
26,Raichu,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/static.shtml""><b>Static</b></a>: The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon. <br>
<b>Hidden Ability</b>: <i>(Available)</i><br><a href=""/abilitydex/lightningrod.shtml""><b>Lightning Rod</b></a>: Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage. <br>
<b>Alola Form Abilities</b>:<br><a href=""/abilitydex/surgesurfer.shtml""><b>Surge Surfer</b></a>: Doubles the Pokémon's Speed stat on Electric Terrain. </td>"
27,Sandshrew,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/sandveil.shtml""><b>Sand Veil</b></a>: Raises the Pokémon’s evasion during a sandstorm by one level. <br>
<b>Hidden Ability</b>: <i>(Available through transfer)</i><br><a href=""/abilitydex/sandrush.shtml""><b>Sand Rush</b></a>: Speed is doubled within a sandstorm <br>
<b>Alola Form Abilities</b>:<br><a href=""/abilitydex/snowcloak.shtml""><b>Snow Cloak</b></a>: Raises the Pokémon’s evasion during a hailstorm by one level. <br>
<b>Hidden Ability</b>:  <i>(Available)</i><br><a href=""/abilitydex/slushrush.shtml""><b>Slush Rush</b></a>: Doubles the Pokémon's Speed when Hail is in effect </td>"
28,Sandslash,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/sandveil.shtml""><b>Sand Veil</b></a>: Raises the Pokémon’s evasion during a sandstorm by one level. <br>
<b>Hidden Ability</b>: <i>(Available through transfer)</i><br><a href=""/abilitydex/sandrush.shtml""><b>Sand Rush</b></a>: Speed is doubled within a sandstorm <br>
<b>Alola Form Abilities</b>:<br><a href=""/abilitydex/snowcloak.shtml""><b>Snow Cloak</b></a>: Raises the Pokémon’s evasion during a hailstorm by one level. <br>
<b>Hidden Ability</b>:  <i>(Available)</i><br><a href=""/abilitydex/slushrush.shtml""><b>Slush Rush</b></a>: Doubles the Pokémon's Speed when Hail is in effect </td>"
29,Nidoran♀,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/poisonpoint.shtml""><b>Poison Point</b></a>: The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/rivalry.shtml""><b>Rivalry</b></a>: Attack &amp; Special Attack is increased by 25% if the foe is of the same gender; Attack &amp; Special Attack is decreased by 25% if the foe is of the opposite gender. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. </td>"
30,Nidorina,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/poisonpoint.shtml""><b>Poison Point</b></a>: The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/rivalry.shtml""><b>Rivalry</b></a>: Attack &amp; Special Attack is increased by 25% if the foe is of the same gender; Attack &amp; Special Attack is decreased by 25% if the foe is of the opposite gender. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. </td>"
31,Nidoqueen,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/poisonpoint.shtml""><b>Poison Point</b></a>: The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/rivalry.shtml""><b>Rivalry</b></a>: Attack &amp; Special Attack is increased by 25% if the foe is of the same gender; Attack &amp; Special Attack is decreased by 25% if the foe is of the opposite gender. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/sheerforce.shtml""><b>Sheer Force</b></a>: Moves with a secondary effect are increased in power by 30% but lose their secondary effect </td>"
32,Nidoran♂,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/poisonpoint.shtml""><b>Poison Point</b></a>: The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/rivalry.shtml""><b>Rivalry</b></a>: Attack &amp; Special Attack is increased by 25% if the foe is of the same gender; Attack &amp; Special Attack is decreased by 25% if the foe is of the opposite gender. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. </td>"
33,Nidorino,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/poisonpoint.shtml""><b>Poison Point</b></a>: The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/rivalry.shtml""><b>Rivalry</b></a>: Attack &amp; Special Attack is increased by 25% if the foe is of the same gender; Attack &amp; Special Attack is decreased by 25% if the foe is of the opposite gender. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/hustle.shtml""><b>Hustle</b></a>: Damage from physical attacks is increased by 50%, but average accuracy is only 80%. </td>"
34,Nidoking,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/poisonpoint.shtml""><b>Poison Point</b></a>: The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/rivalry.shtml""><b>Rivalry</b></a>: Attack &amp; Special Attack is increased by 25% if the foe is of the same gender; Attack &amp; Special Attack is decreased by 25% if the foe is of the opposite gender. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/sheerforce.shtml""><b>Sheer Force</b></a>: Moves with a secondary effect are increased in power by 30% but lose their secondary effect </td>"
35,Clefairy,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/cutecharm.shtml""><b>Cute Charm</b></a>: The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/magicguard.shtml""><b>Magic Guard</b></a>: Prevents all damage except from direct-attack moves. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/friendguard.shtml""><b>Friend Guard</b></a>: In Double &amp; Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%. </td>"
36,Clefable,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/cutecharm.shtml""><b>Cute Charm</b></a>: The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/magicguard.shtml""><b>Magic Guard</b></a>: Prevents all damage except from direct-attack moves. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/unaware.shtml""><b>Unaware</b></a>: Foe’s stat modifications are ignored. </td>"
37,Vulpix,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/flashfire.shtml""><b>Flash Fire</b></a>: Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect. <br>
<b>Hidden Ability</b>: <i>(Available)</i><br><a href=""/abilitydex/drought.shtml""><b>Drought</b></a>: Weather changes to Intense Sunshine when the Pokémon enters the battle. As of X &amp; Y, this lasts 5 turns. <br>
<b>Alola Form Abilities</b>:<br><a href=""/abilitydex/snowcloak.shtml""><b>Snow Cloak</b></a>: Raises the Pokémon’s evasion during a hailstorm by one level. <br>
<b>Hidden Ability</b>:  <i>(Available)</i><br><a href=""/abilitydex/snowwarning.shtml""><b>Snow Warning</b></a>: Hailstorm blows when the Pokémon enters battle. As of X &amp; Y, this lasts 5 turns. </td>"
38,Ninetales,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/flashfire.shtml""><b>Flash Fire</b></a>: Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect. <br>
<b>Hidden Ability</b>: <i>(Available)</i><br><a href=""/abilitydex/drought.shtml""><b>Drought</b></a>: Weather changes to Intense Sunshine when the Pokémon enters the battle. As of X &amp; Y, this lasts 5 turns. <br>
<b>Alola Form Abilities</b>:<br><a href=""/abilitydex/snowcloak.shtml""><b>Snow Cloak</b></a>: Raises the Pokémon’s evasion during a hailstorm by one level. <br>
<b>Hidden Ability</b>:  <i>(Available)</i><br><a href=""/abilitydex/snowwarning.shtml""><b>Snow Warning</b></a>: Hailstorm blows when the Pokémon enters battle. As of X &amp; Y, this lasts 5 turns. </td>"
39,Jigglypuff,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/cutecharm.shtml""><b>Cute Charm</b></a>: The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/competitive.shtml""><b>Competitive</b></a>: Raises Sp. Atk stat by two stages whenever a stat is lowered <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/friendguard.shtml""><b>Friend Guard</b></a>: In Double &amp; Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%. </td>"
40,Wigglytuff,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/cutecharm.shtml""><b>Cute Charm</b></a>: The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/competitive.shtml""><b>Competitive</b></a>: Raises Sp. Atk stat by two stages whenever a stat is lowered <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/frisk.shtml""><b>Frisk</b></a>: Reveals the foe’s held item. </td>"
41,Zubat,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/innerfocus.shtml""><b>Inner Focus</b></a>: This Pokémon will not flinch. Does not prevent flinching with Focus Punch. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/infiltrator.shtml""><b>Infiltrator</b></a>: The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored. </td>"
42,Golbat,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/innerfocus.shtml""><b>Inner Focus</b></a>: This Pokémon will not flinch. Does not prevent flinching with Focus Punch. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/infiltrator.shtml""><b>Infiltrator</b></a>: The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored. </td>"
43,Oddish,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/chlorophyll.shtml""><b>Chlorophyll</b></a>: When sunny, the Pokémon’s Speed doubles. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/runaway.shtml""><b>Run Away</b></a>: Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability. </td>"
44,Gloom,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/chlorophyll.shtml""><b>Chlorophyll</b></a>: When sunny, the Pokémon’s Speed doubles. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/stench.shtml""><b>Stench</b></a>: If the Pokémon uses a move that deals damage on the opponent, there is a chance the opponent flinches </td>"
45,Vileplume,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/chlorophyll.shtml""><b>Chlorophyll</b></a>: When sunny, the Pokémon’s Speed doubles. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/effectspore.shtml""><b>Effect Spore</b></a>: The opponent has a 10% chance of being induced by PARALYZE, POISON, or SLEEP when using an attack, that requires physical contact, against this Pokémon. </td>"
46,Paras,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/effectspore.shtml""><b>Effect Spore</b></a>: The opponent has a 10% chance of being induced by PARALYZE, POISON, or SLEEP when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/dryskin.shtml""><b>Dry Skin</b></a>: HP is restored when hit by Water-type moves or when it is raining but also makes the Pokémon weak to Fire-type moves and reduces HP during strong sunlight. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/damp.shtml""><b>Damp</b></a>: Explosion, Selfdestruct &amp; Mind Blown will not work while the Pokémon is on the field. </td>"
47,Parasect,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/effectspore.shtml""><b>Effect Spore</b></a>: The opponent has a 10% chance of being induced by PARALYZE, POISON, or SLEEP when using an attack, that requires physical contact, against this Pokémon. <br>
<a href=""/abilitydex/dryskin.shtml""><b>Dry Skin</b></a>: HP is restored when hit by Water-type moves or when it is raining but also makes the Pokémon weak to Fire-type moves and reduces HP during strong sunlight. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/damp.shtml""><b>Damp</b></a>: Explosion, Selfdestruct &amp; Mind Blown will not work while the Pokémon is on the field. </td>"
48,Venonat,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/compoundeyes.shtml""><b>Compoundeyes</b></a>: Raises the Pokémon’s accuracy by 30%. <br>
<a href=""/abilitydex/tintedlens.shtml""><b>Tinted Lens</b></a>: The power of “not very effective” moves is doubled. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/runaway.shtml""><b>Run Away</b></a>: Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability. </td>"
