Link,Name,GameText,EffectDetail
https://www.serebii.net/abilitydex/leafguard.shtml,Leaf Guard,Prevents status conditions in sunny weather.,Prevents the Pokémon from being afflicted by status conditions during strong sunlight.
https://www.serebii.net/abilitydex/competitive.shtml,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Raises Sp. Atk stat by two stages whenever a stat is lowered
https://www.serebii.net/abilitydex/iceface.shtml,Ice Face,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it hails.",Has a protective barrier that protects against Physical Attacks once and will change form to Noice Face after breaking. Confusion also breaks the barrier. Setting Hail or being sent out during hail will restore the Ice Face and change form to Ice Face
https://www.serebii.net/abilitydex/owntempo.shtml,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",The Pokémon cannot be Confused while having this ability. Blocks Intimidate
https://www.serebii.net/abilitydex/wimpout.shtml,Wimp Out,The Pokémon cowardly switches out when its HP becomes half or less.,"When the Pokémon's Hit Points hit 50% or less, the Pokémon will switch out. Works once per battle. The Pokémon will not switch out if it drops below 50% due to Confusion, Weather, use of Substitute or when the damage inflicted is by a Pokémon with the Sheer Force ability. It will not activate if health is brought back up above 50% due to a hold item"
https://www.serebii.net/abilitydex/longreach.shtml,Long Reach,The Pokémon uses its moves without making contact with the target.,null
https://www.serebii.net/abilitydex/stamina.shtml,Stamina,Boosts the Defense stat when hit by an attack.,null
https://www.serebii.net/abilitydex/cutecharm.shtml,Cute Charm,Contact with the Pokémon may cause infatuation.,"The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon."
https://www.serebii.net/abilitydex/pixilate.shtml,Pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.,Increases the power of Normal-type moves by 20%. It then changes those moves to Fairy-type.
https://www.serebii.net/abilitydex/strongjaw.shtml,Strong Jaw,The Pokémon's strong jaw boosts the power of its biting moves.,Increases the power of biting moves by 50%
https://www.serebii.net/abilitydex/swarm.shtml,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Bug-type moves is increased by 50%."
https://www.serebii.net/abilitydex/swiftswim.shtml,Swift Swim,Boosts the Pokémon's Speed stat in rain.,"When rainy, The Pokémon’s Speed doubles."
https://www.serebii.net/abilitydex/poisontouch.shtml,Poison Touch,May poison a target when the Pokémon makes contact.,"When the Pokémon attacks its opponents with a move that causes Physical Contact, there is a 30% chance that the target is Poisoned."
https://www.serebii.net/abilitydex/merciless.shtml,Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,null
https://www.serebii.net/abilitydex/wonderguard.shtml,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.,"The Pokémon is only harmed by Super Effective damage, weather effects and condition effects."
https://www.serebii.net/abilitydex/intimidate.shtml,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches."
https://www.serebii.net/abilitydex/telepathy.shtml,Telepathy,Anticipates an ally's attack and dodges it.,Prevents damage from team-mates during Double and Triple battles
https://www.serebii.net/abilitydex/sandforce.shtml,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Ground-type, Rock-type & Steel-type moves have their power increased by 33% in a Sandstorm"
https://www.serebii.net/abilitydex/snowcloak.shtml,Snow Cloak,Boosts evasion in a hailstorm.,Raises the Pokémon’s evasion during a hailstorm by one level.
https://www.serebii.net/abilitydex/levitate.shtml,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.
https://www.serebii.net/abilitydex/plus.shtml,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,"When battling with Plus or Minus, Special Attack increases by 50%."
https://www.serebii.net/abilitydex/hypercutter.shtml,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself.
https://www.serebii.net/abilitydex/friendguard.shtml,Friend Guard,Reduces damage done to allies.,"In Double & Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%."
https://www.serebii.net/abilitydex/liquidooze.shtml,Liquid Ooze,"Oozed liquid has strong stench, which damages attackers using any draining move.","When the opponent absorbs Hit Points from this Pokémon, the opponent instead loses Hit Points."
https://www.serebii.net/abilitydex/screencleaner.shtml,Screen Cleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.",null
https://www.serebii.net/abilitydex/icescales.shtml,Ice Scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",null
https://www.serebii.net/abilitydex/superluck.shtml,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,Raises the critical-hit ratio of moves by one level.
https://www.serebii.net/abilitydex/dragon'smaw.shtml,Dragon's Maw,??.,null
https://www.serebii.net/abilitydex/prismarmor.shtml,Prism Armor,Reduces the power of supereffective attacks taken.,Reduces the power of Super Effective moves used against this Pokémon by 25%
https://www.serebii.net/abilitydex/neutralizinggas.shtml,Neutralizing Gas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon's Abilities will be nullified or will not be triggered.",null
https://www.serebii.net/abilitydex/effectspore.shtml,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.","The opponent has a 10% chance of being induced by PARALYZE, POISON, or SLEEP when using an attack, that requires physical contact, against this Pokémon."
https://www.serebii.net/abilitydex/rockhead.shtml,Rock Head,Protects the Pokémon from recoil damage.,Does not receive recoil damage from recoil-causing damages.
https://www.serebii.net/abilitydex/innerfocus.shtml,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate
https://www.serebii.net/abilitydex/sapsipper.shtml,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",Attack is raised by one stage when the Pokémon is hit by a Grass-type move. User receives no damage from Grass-type attacks.
https://www.serebii.net/abilitydex/keeneye.shtml,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent
https://www.serebii.net/abilitydex/naturalcure.shtml,Natural Cure,All status conditions heal when the Pokémon switches out.,"The Pokémon’s status (BURN, PARALYZE, SLEEP, POISON, FREEZE) is healed when withdrawn from battle."
https://www.serebii.net/abilitydex/flowergift.shtml,Flower Gift,Boosts the Attack and Sp. Def stats of itself and allies when it is sunny.,Ally’s Attack and Special Defence are multiplied by 1.5 during strong sunlight.
https://www.serebii.net/abilitydex/cursedbody.shtml,Cursed Body,May disable a move used on the Pokémon.,"When a move hits the Pokémon, that move has a 30% chance of getting disabled"
https://www.serebii.net/abilitydex/healer.shtml,Healer,Sometimes heals an ally's status condition.,"At the end of the turn, there is a 30% chance of either Ally being healed from a status condition"
https://www.serebii.net/abilitydex/purepower.shtml,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",The Pokémon’s Attack stat is doubled in battle while having this ability.
https://www.serebii.net/abilitydex/mistysurge.shtml,Misty Surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.,Activates Misty Terrain for 5 turns when the Pokémon enters a battle.
https://www.serebii.net/abilitydex/unburden.shtml,Unburden,Boosts the Speed stat if the Pokémon's held item is  used or lost.,Speed is doubled once the held item is consumed.
https://www.serebii.net/abilitydex/cheekpouch.shtml,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.,null
https://www.serebii.net/abilitydex/darkaura.shtml,Dark Aura,Powers up each Pokémon's Dark-type moves.,Powers up every Pokémon in play's Dark-type moves by 33.3%
https://www.serebii.net/abilitydex/suctioncups.shtml,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.,Negates moves that force switching out.
https://www.serebii.net/abilitydex/symbiosis.shtml,Symbiosis,The Pokémon passes its item to an ally that has used up an item.,Passes the Pokémon's hold item to its adjacent ally when that ally consumes its hold item
https://www.serebii.net/abilitydex/shadowshield.shtml,Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.,"Reduces damage inflicted on this Pokémon when at max Hit Points by 50%. It is not affected by moves or abilities that would ignore the ability such as Mold Breaker, Moongeist Beam or Sunsteel Strike"
https://www.serebii.net/abilitydex/stancechange.shtml,Stance Change,"The Pokémon changes its form to Blade Forme when it uses an attack move, and changes to Shield Forme when it uses King's Shield.",null
https://www.serebii.net/abilitydex/icebody.shtml,Ice Body,The Pokémon gradually regains HP in a hailstorm.,HP is restored by 1/16th of maximum HP when its hailing.
https://www.serebii.net/abilitydex/justified.shtml,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",Attack is raised by one stage when the Pokémon is hit by a Dark-type move
https://www.serebii.net/abilitydex/forewarn.shtml,Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.",Reveals the foe’s strongest move.
https://www.serebii.net/abilitydex/shadowtag.shtml,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.,"The opponent cannot run nor switch while this Pokémon is in play. The opponent may still switch by using Baton Pass, U-turn or Volt Switch, if it is holding a Shed Shell or is a Ghost-type."
https://www.serebii.net/abilitydex/roughskin.shtml,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.,"The opponent is hurt by 1/8th of his maxium Hit Points of recoil when using an attack, that requires physical contact, against this Pokémon."
https://www.serebii.net/abilitydex/analytic.shtml,Analytic,Boosts move power when the Pokémon moves last.,Attack power increases by 30% if the Pokémon is the last Pokémon to attack this turn
https://www.serebii.net/abilitydex/whitesmoke.shtml,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.
https://www.serebii.net/abilitydex/contrary.shtml,Contrary,Makes stat changes have an opposite effect.,"Moves used on the Pokémon that raise stats lower the stats, while the moves that lower the stats raise the stat"
https://www.serebii.net/abilitydex/lightningrod.shtml,Lightning Rod,"The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.",Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage.
https://www.serebii.net/abilitydex/drizzle.shtml,Drizzle,The Pokémon makes it rain when it enters a battle.,"Weather changes to Heavy Rain when the Pokémon enters the battle. As of X & Y, this lasts 5 turns."
https://www.serebii.net/abilitydex/snowwarning.shtml,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,"Hailstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns."
https://www.serebii.net/abilitydex/colorchange.shtml,Color Change,The Pokémon's type becomes the type of the move used on it.,This Pokémon’s type becomes the type of the last damaging move which hit it.
https://www.serebii.net/abilitydex/solidrock.shtml,Solid Rock,Reduces the power of supereffective attacks taken.,Damage by super-effective moves is reduced by 25%.
https://www.serebii.net/abilitydex/illusion.shtml,Illusion,Comes out disguised as the Pokémon in the party's last spot.,"When sent out into battle, it takes the name and appearance of the last non-fainted Pokémon within your party. It breaks when an attack does damage on the Pokémon but not from Weather Effects or Entry Hazards."
https://www.serebii.net/abilitydex/hustle.shtml,Hustle,"Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%."
https://www.serebii.net/abilitydex/unseenfist.shtml,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",null
https://www.serebii.net/abilitydex/prankster.shtml,Prankster,Gives priority to a status move.,Status category moves have their Speed Priority increased by 1. Moves increased by this that are used on Dark-type opponents will fail.
https://www.serebii.net/abilitydex/victorystar.shtml,Victory Star,Boosts the accuracy of its allies and itself.,Accuracy for the Pokémon and Allys is raised by 10%
https://www.serebii.net/abilitydex/intrepidsword.shtml,Intrepid Sword,Boosts the Pokémon's Attack stat when the Pokémon enters a battle.,null
https://www.serebii.net/abilitydex/stall.shtml,Stall,The Pokémon moves after all other Pokémon do.,The Pokémon always attacks last.
https://www.serebii.net/abilitydex/vitalspirit.shtml,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",The Pokémon cannot be Asleep while having this ability.
https://www.serebii.net/abilitydex/compoundeyes.shtml,Compoundeyes,The Pokémon's compound eyes boost its accuracy.,Raises the Pokémon’s accuracy by 30%.
https://www.serebii.net/abilitydex/moody.shtml,Moody,Raises one stat sharply and lowers another every turn.,"At the end of every turn, a random stat (except Accuracy and Evasion) is raised by two stages while another is lowered by one stage."
https://www.serebii.net/abilitydex/furcoat.shtml,Fur Coat,Halves the damage from physical moves onto this Pokémon.,null
https://www.serebii.net/abilitydex/reckless.shtml,Reckless,Powers up moves that have recoil damage.,The power of moves that have recoil damage is increased by 20%.
https://www.serebii.net/abilitydex/motordrive.shtml,Motor Drive,"Boosts its Speed stat if hit by an Electric-type move, instead of taking damage.",The Pokémon takes no damage from Electric-type attacks and Speed raises by one level.
https://www.serebii.net/abilitydex/normalize.shtml,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,All moves known by the Pokémon turn into Normal-type and have a boost in power of 20%.
https://www.serebii.net/abilitydex/powerspot.shtml,Power Spot,Just being next to the Pokémon powers up moves.,Increases the power of Ally Pokémon's attacks by 30%
https://www.serebii.net/abilitydex/thickfat.shtml,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Fire and Ice-type moves deal 50% damage.
https://www.serebii.net/abilitydex/clearbody.shtml,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.
https://www.serebii.net/abilitydex/cloudnine.shtml,Cloud Nine,Eliminates the effects of weather.,All weather effects are negated while the Pokémon is on the field.
https://www.serebii.net/abilitydex/corrosion.shtml,Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.,null
https://www.serebii.net/abilitydex/moldbreaker.shtml,Mold Breaker,Moves can be used on the target regardless of its Abilities.,The Pokémon's moves are not affected by foe’s abilities during battle
https://www.serebii.net/abilitydex/guts.shtml,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,"Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied."
https://www.serebii.net/abilitydex/skilllink.shtml,Skill Link,Maximizes the number of times multi-strike moves hit.,Moves that attack 2-5 times always hit 5 times.
https://www.serebii.net/abilitydex/stakeout.shtml,Stakeout,Doubles the damage dealt to the target's replacement if the target switches out.,null
https://www.serebii.net/abilitydex/turboblaze.shtml,Turboblaze,Moves can be used on the target regardless of its Abilities.,null
https://www.serebii.net/abilitydex/slowstart.shtml,Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved.",Attack and Speed is halved during the first five turns since sent out.
https://www.serebii.net/abilitydex/quickfeet.shtml,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,"Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored."
https://www.serebii.net/abilitydex/slushrush.shtml,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Doubles the Pokémon's Speed when Hail is in effect
https://www.serebii.net/abilitydex/shielddust.shtml,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,Damaging moves used by the opponent will not have an additional effect.
https://www.serebii.net/abilitydex/ironfist.shtml,Iron Fist,Powers up punching moves.,The power of punching moves is increased by 20%.
https://www.serebii.net/abilitydex/torrent.shtml,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%."
https://www.serebii.net/abilitydex/noguard.shtml,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,The accuracy of all moves known by this Pokémon and all Pokémon targeting this Pokémon raises to 100%
https://www.serebii.net/abilitydex/battery.shtml,Battery,Powers up ally Pokémon's special moves.Boosts Ally Pokémon's Special Attack by 30%.,null
https://www.serebii.net/abilitydex/tintedlens.shtml,Tinted Lens,The Pokémon can use â€œnot very effectiveâ€ moves to deal regular damage.,The power of “not very effective” moves is doubled.
https://www.serebii.net/abilitydex/propellertail.shtml,Propeller Tail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,null
https://www.serebii.net/abilitydex/liquidvoice.shtml,Liquid Voice,All sound-based moves become Water-type moves.,null
https://www.serebii.net/abilitydex/serenegrace.shtml,Serene Grace,Boosts the likelihood of additional effects occurring  when attacking.,The chances of a move having a secondary effect is doubled.
https://www.serebii.net/abilitydex/imposter.shtml,Imposter,The Pokémon transforms itself into the Pokémon it's facing.,"When sent into battle, the Pokémon automatically transforms into a random opponent that is on the field."
https://www.serebii.net/abilitydex/transistor.shtml,Transistor,??.,null
https://www.serebii.net/abilitydex/aurabreak.shtml,Aura Break,The effects of â€œAuraâ€ Abilities are reversed to lower the power of affected moves.,null
https://www.serebii.net/abilitydex/baddreams.shtml,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.,null
https://www.serebii.net/abilitydex/defiant.shtml,Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies
https://www.serebii.net/abilitydex/innardsout.shtml,Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.,null
https://www.serebii.net/abilitydex/pressure.shtml,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1."
https://www.serebii.net/abilitydex/multiscale.shtml,Multiscale,Reduces the amount of damage the Pokémon takes when its HP is full.,Reduces damage afflicted to the Pokémon by 50% if at maximum HP
