web-scraper-order,web-scraper-start-url,name,typeImage-src,categoryImage-src,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact,accuracy,zMove,zMovePower,zMoveUpgradeEffect,zMoveUgradeEffectDetailed
"1597855440-1554","https://www.serebii.net//attackdex-sm/gyroball.shtml","Gyro Ball","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","1","The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move's power.","Increases power the lower the target's Speed","-- %","0","4.17%","Selected Target","Yes","100","Corkscrew Crash","160","Corkscrew Crash","null"
"1597854952-1312","https://www.serebii.net//attackdex-sm/rockslide.shtml","Rock Slide","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","75","Large boulders are hurled at the opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.","May cause opponent to flinch.","30 %","0","4.17%","All Adjacent Foes","No","90","Continental Crush","140","Continental Crush","null"
"1597855160-1414","https://www.serebii.net//attackdex-sm/mysticalfire.shtml","Mystical Fire","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","75","The user attacks by breathing a special, hot fire. This also lowers the target's Sp. Atk stat.","May lower opponent's Special Attack one stage.","100 %","0","4.17%","Selected Target","No","100","Inferno Overdrive","140","Inferno Overdrive","null"
"1597855342-1505","https://www.serebii.net//attackdex-sm/iciclespear.shtml","Icicle Spear","/pokedex-bw/type/ice.gif","/pokedex-bw/type/physical.png","25","The user launches sharp icicles at the target two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","No","100","Subzero Slammer","140","Subzero Slammer","null"
"1597855426-1547","https://www.serebii.net//attackdex-sm/headsmash.shtml","Head Smash","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","150","The user attacks the target with a hazardous, full-power headbutt. This also damages the user terribly.","User receives half the damage inflicted in recoil","-- %","0","4.17%","Selected Target","Yes","80","Continental Crush","200","Continental Crush","null"
"1597854636-1156","https://www.serebii.net//attackdex-sm/thundershock.shtml","Thunder Shock","/pokedex-bw/type/electric.gif","/pokedex-bw/type/special.png","40","A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.","May induce paralysis.","10 %","0","4.17%","Selected Target","No","100","Gigavolt Havoc","100","Gigavolt Havoc","null"
"1597855894-1779","https://www.serebii.net//attackdex-sm/barrage.shtml","Barrage","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","15","Round objects are hurled at the target to strike two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","No","85","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854851-1262","https://www.serebii.net//attackdex-sm/sizzlyslide.shtml","Sizzly Slide","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","90","The user cloaks itself in fire and charges at the target. This also leaves the target with a burn.","Induces burn.","100 %","0","4.17%","Selected Target","No","100","","","","null"
"1597855479-1573","https://www.serebii.net//attackdex-sm/gigaimpact.shtml","Giga Impact","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","150","The user charges at the target using every bit of its power. The user can't move on the next turn.","User cannot Attack on the next turn.","-- %","0","4.17%","Selected Target","Yes","90","Breakneck Blitz","200","Breakneck Blitz","null"
"1597855136-1402","https://www.serebii.net//attackdex-sm/nuzzle.shtml","Nuzzle","/pokedex-bw/type/electric.gif","/pokedex-bw/type/physical.png","20","The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.","Inflicts Paralysis","100 %","0","4.17%","Selected Target","Yes","100","Gigavolt Havoc","100","Gigavolt Havoc","null"
"1597855618-1642","https://www.serebii.net//attackdex-sm/endure.shtml","Endure","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.","Survives any Attack for one turn leaving at least 1 HP but may fail with successive uses.","-- %","4","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854773-1224","https://www.serebii.net//attackdex-sm/spikyshield.shtml","Spiky Shield","/pokedex-bw/type/grass.gif","/pokedex-bw/type/other.png","0","In addition to protecting the user from attacks, this move also damages any attacker who makes direct contact.","Damages by 1/8th Maximum Hit Points if hit by physical contact.","-- %","4","None","Self","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855452-1560","https://www.serebii.net//attackdex-sm/guardsplit.shtml","Guard Split","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.","Averages Defense and Special Defense","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597854761-1218","https://www.serebii.net//attackdex-sm/splishysplash.shtml","Splishy Splash","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","90","The user charges a huge wave with electricity and hits the opposing Pokémon with the wave. This may also leave the opposing Pokémon with paralysis.","May induce paralysis.","30 %","0","4.17%","Selected Target","No","100","","","","null"
"1597855003-1336","https://www.serebii.net//attackdex-sm/rage.shtml","Rage","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","20","As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle.","User's Attack raises one stage if hit.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855206-1437","https://www.serebii.net//attackdex-sm/metronome.shtml","Metronome","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user waggles a finger and stimulates its brain into randomly using nearly any move.","Uses a random move.","-- %","0","None","Self","No","0","null","null","Changes depending on the type","This Z-Move will become a standard Z Move based on the type of the move in its effect"
"1597855442-1555","https://www.serebii.net//attackdex-sm/gust.shtml","Gust","/pokedex-bw/type/flying.gif","/pokedex-bw/type/special.png","40","A gust of wind is whipped up by wings and launched at the target to inflict damage.","Hits opponents using Fly","-- %","0","4.17%","Selected Target","No","100","Supersonic Skystrike","100","Supersonic Skystrike","null"
"1597855626-1646","https://www.serebii.net//attackdex-sm/embargo.shtml","Embargo","/pokedex-bw/type/dark.gif","/pokedex-bw/type/other.png","0","This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.","Prevents the target from using effects of its hold item for 5 turns","-- %","0","None","Selected Target","No","100","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597855044-1356","https://www.serebii.net//attackdex-sm/protect.shtml","Protect","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.","Prevents being hit by the opponent's Attack. May fail on successive uses","-- %","4","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855294-1481","https://www.serebii.net//attackdex-sm/leafstorm.shtml","Leaf Storm","/pokedex-bw/type/grass.gif","/pokedex-bw/type/special.png","130","The user whips up a storm of leaves around the target. The attack's recoil harshly lowers the user's Sp. Atk stat.","Lowers user's Special Attack two stages.","100 %","0","4.17%","Selected Target","No","90","Bloom Doom","195","Bloom Doom","null"
"1597855184-1426","https://www.serebii.net//attackdex-sm/mistball.shtml","Mist Ball","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","70","A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat.","May lower opponent's Special Attack one stage.","50 %","0","4.17%","Selected Target","No","100","Shattered Psyche","140","Shattered Psyche","null"
"1597855076-1372","https://www.serebii.net//attackdex-sm/poisonsting.shtml","Poison Sting","/pokedex-bw/type/poison.gif","/pokedex-bw/type/physical.png","15","The user stabs the target with a poisonous stinger. This may also poison the target.","May induce poison.","30 %","0","4.17%","Selected Target","No","100","Acid Downpour","100","Acid Downpour","null"
"1597855428-1548","https://www.serebii.net//attackdex-sm/headcharge.shtml","Head Charge","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","120","The user charges its head into its target, using its powerful guard hair. This also damages the user a little.","User takes recoil damage equal to 25% of the damage inflicted.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","190","Breakneck Blitz","null"
"1597854929-1301","https://www.serebii.net//attackdex-sm/sacredfire.shtml","Sacred Fire","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","100","The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.","May induce burn.","50 %","0","4.17%","Selected Target","No","95","Inferno Overdrive","180","Inferno Overdrive","null"
"1597855557-1612","https://www.serebii.net//attackdex-sm/flamecharge.shtml","Flame Charge","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","50","Cloaking itself in flame, the user attacks. Then, building up more power, the user raises its Speed stat.","Raises user's Speed one stage.","100 %","0","4.17%","Selected Target","Yes","100","Inferno Overdrive","100","Inferno Overdrive","null"
"1597854747-1211","https://www.serebii.net//attackdex-sm/stickyweb.shtml","Sticky Web","/pokedex-bw/type/bug.gif","/pokedex-bw/type/other.png","0","The user weaves a sticky net around the opposing team, which lowers their Speed stat upon switching into battle.","Sets a web that lower the opponent's Speed by one stage upon switching.","-- %","0","None","Enemy Side","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855094-1381","https://www.serebii.net//attackdex-sm/pinmissile.shtml","Pin Missile","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","25","Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","No","95","Savage Spin-Out","140","Savage Spin-Out","null"
"1597855710-1688","https://www.serebii.net//attackdex-sm/detect.shtml","Detect","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/other.png","0","Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.","Prevents being hit by the opponent's Attack. May fail on successive uses","-- %","4","None","Self","No","0","null","null","Evasiveness ↥","Boosts Evasion by 1 stage"
"1597854563-1120","https://www.serebii.net//attackdex-sm/watershuriken.shtml","Water Shuriken","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","15","The user hits the target with throwing stars two to five times in a row. This move always goes first.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits
Base Power increased to 20 if Battle Bond has activated and will hit 3 times guaranteed.","-- %","1","4.17%","Selected Target","No","100","Hydro Vortex","100","Hydro Vortex","null"
"1597855035-1352","https://www.serebii.net//attackdex-sm/psychicfangs.shtml","Psychic Fangs","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/physical.png","85","The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.","Destroys protective barriers.","-- %","0","4.17%","Selected Target","Yes","100","Shattered Psyche","160","Shattered Psyche","null"
"1597855870-1767","https://www.serebii.net//attackdex-sm/blastburn.shtml","Blast Burn","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","150","The target is razed by a fiery explosion. The user can't move on the next turn.","User cannot Attack on the next turn.","-- %","0","4.17%","Selected Target","No","90","Inferno Overdrive","200","Inferno Overdrive","null"
"1597855712-1689","https://www.serebii.net//attackdex-sm/destinybond.shtml","Destiny Bond","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/other.png","0","After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession.","If the user faints, the opponent will also faint. Will fail on successive uses.","-- %","0","None","Self","No","0","null","null","Center of attention","This Pokémon becomes the focus"
"1597855882-1773","https://www.serebii.net//attackdex-sm/bellydrum.shtml","Belly Drum","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user maximizes its Attack stat in exchange for HP equal to half its max HP.","Cut's half of user's maximum HP and maximizes Attack.","-- %","0","None","Self","No","0","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597855866-1765","https://www.serebii.net//attackdex-sm/blizzard.shtml","Blizzard","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","110","A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.","May Freeze opponent.","10 %","0","4.17%","All Adjacent Foes","No","70","Subzero Slammer","185","Subzero Slammer","null"
"1597855480-1574","https://www.serebii.net//attackdex-sm/gigadrain.shtml","Giga Drain","/pokedex-bw/type/grass.gif","/pokedex-bw/type/special.png","75","A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.","User recovers half the damage inflicted.","-- %","0","4.17%","Selected Target","No","100","Bloom Doom","140","Bloom Doom","null"
"1597854603-1140","https://www.serebii.net//attackdex-sm/trumpcard.shtml","Trump Card","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","1","The fewer PP this move has, the greater its power.","Increases power the lower its PP","-- %","0","4.17%","Selected Target","Yes","0","Breakneck Blitz","160","Breakneck Blitz","null"
"1597855965-1814","https://www.serebii.net//attackdex-sm/acidarmor.shtml","Acid Armor","/pokedex-bw/type/poison.gif","/pokedex-bw/type/other.png","0","The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.","Raises user's Defense two stages.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855246-1457","https://www.serebii.net//attackdex-sm/magmastorm.shtml","Magma Storm","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","100","The target becomes trapped within a maelstrom of fire that rages for four to five turns.","Traps opponent.","100 %","0","4.17%","Selected Target","No","75","Inferno Overdrive","180","Inferno Overdrive","null"
"1597855906-1785","https://www.serebii.net//attackdex-sm/auroraveil.shtml","Aurora Veil","/pokedex-bw/type/ice.gif","/pokedex-bw/type/other.png","0","This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.","Lowers damage from Physical & Special moves for 5 turns","-- %","0","None","Ally","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855448-1558","https://www.serebii.net//attackdex-sm/guardianofalola.shtml","Guardian of Alola","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/special.png","1","The user, the Land Spirit Pokémon, obtains Alola's energy using its Z-Power and attacks the target with full force. This reduces the target's HP greatly.","Removes 75% of the target's Hit Points","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855250-1459","https://www.serebii.net//attackdex-sm/magicroom.shtml","Magic Room","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user creates a bizarre area in which Pokémon's held items lose their effects for five turns.","Prevents hold item use for five turns.","-- %","0","None","Field","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855844-1754","https://www.serebii.net//attackdex-sm/bouncybubble.shtml","Bouncy Bubble","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","90","The user attacks by shooting water bubbles at the target. It then absorbs water and restores its HP by half the damage taken by the target.","User recovers half the damage inflicted.","-- %","0","4.17%","Selected Target","No","100","","","","null"
"1597855686-1676","https://www.serebii.net//attackdex-sm/doublekick.shtml","Double Kick","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","30","The target is quickly kicked twice in succession using both feet.","Attacks twice in a row.","-- %","0","4.17%","Selected Target","Yes","100","All-Out Pummeling","100","All-Out Pummeling","null"
"1597854573-1125","https://www.serebii.net//attackdex-sm/volttackle.shtml","Volt Tackle","/pokedex-bw/type/electric.gif","/pokedex-bw/type/physical.png","120","The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.","User receives 1/3rd of damage in re-coil. May PARALYZE opponent.","10 %","0","4.17%","Selected Target","Yes","100","Gigavolt Havoc","190","Gigavolt Havoc","null"
"1597854989-1329","https://www.serebii.net//attackdex-sm/recover.shtml","Recover","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","Restoring its own cells, the user restores its own HP by half of its max HP.","User recovers half the maximum HP.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854555-1116","https://www.serebii.net//attackdex-sm/weatherball.shtml","Weather Ball","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","50","This attack move varies in power and type depending on the weather.","Changes type and doubles power based on the weather in play","-- %","0","4.17%","Selected Target","No","100","Breakneck Blitz","160","Breakneck Blitz","null"
"1597854997-1333","https://www.serebii.net//attackdex-sm/rapidspin.shtml","Rapid Spin","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","20","A spin attack that can also eliminate such moves as Bind, Wrap, Leech Seed, and Spikes.","User removes entry hazards and trapping moves","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854624-1150","https://www.serebii.net//attackdex-sm/toxic.shtml","Toxic","/pokedex-bw/type/poison.gif","/pokedex-bw/type/other.png","0","A move that leaves the target badly poisoned. Its poison damage worsens every turn.","Induces severe poison.","-- %","0","None","Selected Target","No","90","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855654-1660","https://www.serebii.net//attackdex-sm/dreameater.shtml","Dream Eater","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","100","The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.","User recovers half the damage inflicted on a sleeping opponent.","-- %","0","4.17%","Selected Target","No","100","Shattered Psyche","180","Shattered Psyche","null"
"1597855031-1350","https://www.serebii.net//attackdex-sm/psychoboost.shtml","Psycho Boost","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","140","The user attacks the target at full power. The attack's recoil harshly lowers the user's Sp. Atk stat.","Lowers user's Special Attack two stages.","100 %","0","4.17%","Selected Target","No","90","Shattered Psyche","200","Shattered Psyche","null"
"1597855620-1643","https://www.serebii.net//attackdex-sm/endeavor.shtml","Endeavor","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","1","This attack move cuts down the target's HP to equal the user's HP.","Reduces the target's Hit Points to match the current Hit Points of the user.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","160","Breakneck Blitz","null"
"1597854958-1315","https://www.serebii.net//attackdex-sm/rockblast.shtml","Rock Blast","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","25","The user hurls hard rocks at the target. Two to five rocks are launched in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","No","90","Continental Crush","140","Continental Crush","null"
"1597854885-1279","https://www.serebii.net//attackdex-sm/shadowclaw.shtml","Shadow Claw","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/physical.png","70","The user slashes with a sharp claw made from shadows. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","Yes","100","Never-Ending Nightmare","140","Never-Ending Nightmare","null"
"1597854735-1205","https://www.serebii.net//attackdex-sm/storedpower.shtml","Stored Power","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","20","The user attacks the target with stored power. The more the user's stats are raised, the greater the move's power.","Increases damage by 100% for each stage a stat has been increased by the user","-- %","0","4.17%","Selected Target","No","100","Shattered Psyche","160","Shattered Psyche","null"
"1597855062-1365","https://www.serebii.net//attackdex-sm/powersplit.shtml","Power Split","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.","Averages Attack and Special Attack","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
