web-scraper-order,web-scraper-start-url,DexNum,name,form,eggMoveName,eggMoveForm
"1598635778-149","https://www.serebii.net/pokedex-sm/800.shtml","800","Recycle","Dawn Wings Necrozma","",""
"1598637102-6256","https://www.serebii.net/pokedex-sm/305.shtml","305","Shock Wave","","",""
"1598636468-3222","https://www.serebii.net/pokedex-sm/544.shtml","544","Signal Beam","","",""
"1598637107-6286","https://www.serebii.net/pokedex-sm/303.shtml","303","Pain Split","","",""
"1598636998-5788","https://www.serebii.net/pokedex-sm/344.shtml","344","Ally Switch","","",""
"1598636907-5415","https://www.serebii.net/pokedex-sm/379.shtml","379","Magnet Rise","","",""
"1598636117-1625","https://www.serebii.net/pokedex-sm/675.shtml","675","Drain Punch","","",""
"1598637938-11025","https://www.serebii.net/pokedex-sm/035.shtml","35","Focus Punch","","",""
"1598636260-2348","https://www.serebii.net/pokedex-sm/619.shtml","619","Drain Punch","","",""
"1598636606-3853","https://www.serebii.net/pokedex-sm/493.shtml","493","Iron Head","","",""
"1598637659-8891","https://www.serebii.net/pokedex-sm/111.shtml","111","Drill Run","","",""
"1598638038-11665","https://www.serebii.net/pokedex-sm/008.shtml","8","","","Mist",""
"1598637878-10471","https://www.serebii.net/pokedex-sm/052.shtml","52","Seed Bomb","Meowth","",""
"1598637523-8115","https://www.serebii.net/pokedex-sm/149.shtml","149","Bind","","",""
"1598636177-1885","https://www.serebii.net/pokedex-sm/651.shtml","651","Low Kick","","",""
"1598636200-2060","https://www.serebii.net/pokedex-sm/642.shtml","642","Thunder Punch","Incarnate Forme","",""
"1598636814-4920","https://www.serebii.net/pokedex-sm/414.shtml","414","Tailwind","","",""
"1598638041-11694","https://www.serebii.net/pokedex-sm/007.shtml","7","","","Refresh",""
"1598637293-7086","https://www.serebii.net/pokedex-sm/234.shtml","234","Signal Beam","","",""
"1598636838-5035","https://www.serebii.net/pokedex-sm/405.shtml","405","Iron Tail","","",""
"1598635952-918","https://www.serebii.net/pokedex-sm/738.shtml","738","Laser Focus","","",""
"1598636623-3972","https://www.serebii.net/pokedex-sm/487.shtml","487","Spite","Altered Forme","",""
"1598637611-8593","https://www.serebii.net/pokedex-sm/124.shtml","124","Trick","","",""
"1598637251-6921","https://www.serebii.net/pokedex-sm/249.shtml","249","Laser Focus","","",""
"1598637220-6752","https://www.serebii.net/pokedex-sm/261.shtml","261","Hyper Voice","","",""
"1598635886-649","https://www.serebii.net/pokedex-sm/758.shtml","758","Gunk Shot","","",""
"1598636052-1331","https://www.serebii.net/pokedex-sm/701.shtml","701","Defog","","",""
"1598636463-3205","https://www.serebii.net/pokedex-sm/546.shtml","546","Giga Drain","","",""
"1598637204-6700","https://www.serebii.net/pokedex-sm/267.shtml","267","Giga Drain","","",""
"1598636444-3121","https://www.serebii.net/pokedex-sm/553.shtml","553","Low Kick","","",""
"1598636824-4983","https://www.serebii.net/pokedex-sm/410.shtml","410","Shock Wave","","",""
"1598637104-6266","https://www.serebii.net/pokedex-sm/304.shtml","304","Iron Defense","","",""
"1598636167-1830","https://www.serebii.net/pokedex-sm/655.shtml","655","Telekinesis","","",""
"1598637711-9252","https://www.serebii.net/pokedex-sm/097.shtml","97","","","Nasty Plot",""
"1598637886-10589","https://www.serebii.net/pokedex-sm/050.shtml","50","","","Final Gambit","Alola Form"
"1598635816-329","https://www.serebii.net/pokedex-sm/784.shtml","784","Dragon Pulse","","",""
"1598637280-7051","https://www.serebii.net/pokedex-sm/239.shtml","239","Focus Punch","","",""
"1598636775-4738","https://www.serebii.net/pokedex-sm/429.shtml","429","Uproar","","",""
"1598637298-7125","https://www.serebii.net/pokedex-sm/232.shtml","232","Superpower","","",""
"1598637950-11120","https://www.serebii.net/pokedex-sm/032.shtml","32","","","Confusion",""
"1598635825-365","https://www.serebii.net/pokedex-sm/781.shtml","781","Iron Defense","","",""
"1598637757-9608","https://www.serebii.net/pokedex-sm/084.shtml","84","","","Feint Attack",""
"1598637950-11124","https://www.serebii.net/pokedex-sm/032.shtml","32","","","Iron Tail",""
"1598636546-3600","https://www.serebii.net/pokedex-sm/513.shtml","513","Snore","","",""
"1598637184-6629","https://www.serebii.net/pokedex-sm/275.shtml","275","Throat Chop","","",""
"1598635999-1097","https://www.serebii.net/pokedex-sm/720.shtml","720","Trick","","",""
"1598637997-11504","https://www.serebii.net/pokedex-sm/020.shtml","20","","","Swallow","Alola Form"
"1598635850-486","https://www.serebii.net/pokedex-sm/772.shtml","772","Snore","","",""
"1598636049-1301","https://www.serebii.net/pokedex-sm/702.shtml","702","Covet","","",""
"1598636490-3331","https://www.serebii.net/pokedex-sm/535.shtml","535","Water Pulse","","",""
"1598636648-4129","https://www.serebii.net/pokedex-sm/478.shtml","478","Ally Switch","","",""
"1598637972-11280","https://www.serebii.net/pokedex-sm/027.shtml","27","","","Metal Claw","Alola Form"
"1598637902-10691","https://www.serebii.net/pokedex-sm/045.shtml","45","","","Synthesis",""
"1598637516-8013","https://www.serebii.net/pokedex-sm/151.shtml","151","Bug Bite","","",""
"1598636198-2050","https://www.serebii.net/pokedex-sm/643.shtml","643","Dragon Pulse","","",""
"1598637761-9632","https://www.serebii.net/pokedex-sm/083.shtml","83","","","Quick Attack",""
"1598637934-10988","https://www.serebii.net/pokedex-sm/036.shtml","36","Recycle","","",""
"1598636890-5336","https://www.serebii.net/pokedex-sm/385.shtml","385","Telekinesis","","",""
"1598637927-10890","https://www.serebii.net/pokedex-sm/038.shtml","38","","","Flail","Alola Form"
"1598636099-1533","https://www.serebii.net/pokedex-sm/682.shtml","682","Endeavor","","",""
"1598637690-9122","https://www.serebii.net/pokedex-sm/103.shtml","103","Worry Seed","Alola Form","",""
"1598637110-6309","https://www.serebii.net/pokedex-sm/302.shtml","302","Trick","","",""
"1598636554-3654","https://www.serebii.net/pokedex-sm/510.shtml","510","Spite","","",""
"1598636437-3100","https://www.serebii.net/pokedex-sm/556.shtml","556","Endeavor","","",""
"1598637636-8731","https://www.serebii.net/pokedex-sm/117.shtml","117","","","Flail",""
"1598637168-6542","https://www.serebii.net/pokedex-sm/281.shtml","281","Thunder Punch","","",""
"1598635967-963","https://www.serebii.net/pokedex-sm/732.shtml","732","Gunk Shot","","",""
"1598636169-1844","https://www.serebii.net/pokedex-sm/654.shtml","654","Trick","","",""
"1598637523-8124","https://www.serebii.net/pokedex-sm/149.shtml","149","","","Mist",""
"1598637411-7576","https://www.serebii.net/pokedex-sm/190.shtml","190","Foul Play","","",""
"1598637280-7043","https://www.serebii.net/pokedex-sm/239.shtml","239","Low Kick","","",""
"1598636357-2690","https://www.serebii.net/pokedex-sm/585.shtml","585","Bounce","","",""
"1598636676-4294","https://www.serebii.net/pokedex-sm/467.shtml","467","Helping Hand","","",""
"1598637715-9260","https://www.serebii.net/pokedex-sm/096.shtml","96","Signal Beam","","",""
"1598637899-10677","https://www.serebii.net/pokedex-sm/046.shtml","46","","","Wide Guard",""
"1598636750-4620","https://www.serebii.net/pokedex-sm/439.shtml","439","Snore","","",""
"1598637450-7736","https://www.serebii.net/pokedex-sm/176.shtml","176","Last Resort","","",""
"1598636065-1394","https://www.serebii.net/pokedex-sm/696.shtml","696","Outrage","","",""
"1598636074-1428","https://www.serebii.net/pokedex-sm/692.shtml","692","Aqua Tail","","",""
"1598637052-6043","https://www.serebii.net/pokedex-sm/324.shtml","324","Iron Defense","","",""
"1598636876-5171","https://www.serebii.net/pokedex-sm/390.shtml","390","Iron Tail","","",""
"1598637882-10544","https://www.serebii.net/pokedex-sm/051.shtml","51","","","Beat Up","Alola Form"
"1598637390-7484","https://www.serebii.net/pokedex-sm/198.shtml","198","Icy Wind","","",""
"1598637484-7893","https://www.serebii.net/pokedex-sm/163.shtml","163","Heat Wave","","",""
"1598636493-3344","https://www.serebii.net/pokedex-sm/534.shtml","534","Helping Hand","","",""
"1598636242-2246","https://www.serebii.net/pokedex-sm/626.shtml","626","Snore","","",""
"1598636669-4244","https://www.serebii.net/pokedex-sm/470.shtml","470","Seed Bomb","","",""
"1598636250-2288","https://www.serebii.net/pokedex-sm/623.shtml","623","Zen Headbutt","","",""
"1598637060-6072","https://www.serebii.net/pokedex-sm/321.shtml","321","Liquidation","","",""
"1598636609-3893","https://www.serebii.net/pokedex-sm/492.shtml","492","Giga Drain","Sky Forme","",""
"1598637558-8297","https://www.serebii.net/pokedex-sm/139.shtml","139","Earth Power","","",""
"1598635801-274","https://www.serebii.net/pokedex-sm/790.shtml","790","","","",""
"1598637481-7884","https://www.serebii.net/pokedex-sm/164.shtml","164","Sky Attack","","",""
"1598637568-8363","https://www.serebii.net/pokedex-sm/136.shtml","136","Iron Tail","","",""
"1598637458-7784","https://www.serebii.net/pokedex-sm/173.shtml","173","Covet","","",""
"1598637651-8823","https://www.serebii.net/pokedex-sm/113.shtml","113","Last Resort","","",""
"1598637980-11351","https://www.serebii.net/pokedex-sm/025.shtml","25","Knock Off","","",""
"1598636377-2776","https://www.serebii.net/pokedex-sm/578.shtml","578","Helping Hand","","",""
"1598637537-8181","https://www.serebii.net/pokedex-sm/145.shtml","145","Signal Beam","","",""
"1598637711-9240","https://www.serebii.net/pokedex-sm/097.shtml","97","Magic Room","","",""
"1598637934-11005","https://www.serebii.net/pokedex-sm/036.shtml","36","","","Misty Terrain",""
"1598637484-7897","https://www.serebii.net/pokedex-sm/163.shtml","163","Defog","","",""
"1598636120-1643","https://www.serebii.net/pokedex-sm/674.shtml","674","Ice Punch","","",""
"1598636983-5719","https://www.serebii.net/pokedex-sm/350.shtml","350","Magic Coat","","",""
"1598635780-163","https://www.serebii.net/pokedex-sm/799.shtml","799","Last Resort","","",""
"1598636228-2205","https://www.serebii.net/pokedex-sm/631.shtml","631","Focus Punch","","",""
"1598636783-4797","https://www.serebii.net/pokedex-sm/426.shtml","426","Magic Coat","","",""
"1598637360-7354","https://www.serebii.net/pokedex-sm/209.shtml","209","Super Fang","","",""
"1598636676-4291","https://www.serebii.net/pokedex-sm/467.shtml","467","Snore","","",""
"1598637025-5904","https://www.serebii.net/pokedex-sm/334.shtml","334","Wonder Room","","",""
"1598637254-6934","https://www.serebii.net/pokedex-sm/248.shtml","248","Dragon Pulse","","",""
"1598635874-605","https://www.serebii.net/pokedex-sm/762.shtml","762","Snore","","",""
"1598637938-11044","https://www.serebii.net/pokedex-sm/035.shtml","35","","","Fake Tears",""
"1598638045-11716","https://www.serebii.net/pokedex-sm/006.shtml","6","","","Ancient Power",""
"1598637176-6595","https://www.serebii.net/pokedex-sm/278.shtml","278","Snore","","",""
"1598636444-3135","https://www.serebii.net/pokedex-sm/553.shtml","553","Snatch","","",""
"1598637647-8815","https://www.serebii.net/pokedex-sm/114.shtml","114","","","Rage Powder",""
"1598636866-5127","https://www.serebii.net/pokedex-sm/394.shtml","394","Stealth Rock","","",""
"1598636258-2335","https://www.serebii.net/pokedex-sm/620.shtml","620","Knock Off","","",""
"1598636851-5073","https://www.serebii.net/pokedex-sm/400.shtml","400","Snore","","",""
"1598636203-2092","https://www.serebii.net/pokedex-sm/641.shtml","641","Knock Off","Incarnate Forme","",""
"1598637537-8185","https://www.serebii.net/pokedex-sm/145.shtml","145","Sky Attack","","",""
"1598638001-11537","https://www.serebii.net/pokedex-sm/019.shtml","19","","","Last Resort","Normal"
"1598636707-4435","https://www.serebii.net/pokedex-sm/455.shtml","455","Giga Drain","","",""
"1598636260-2346","https://www.serebii.net/pokedex-sm/619.shtml","619","Knock Off","","",""
"1598637942-11083","https://www.serebii.net/pokedex-sm/034.shtml","34","","","Endure",""
"1598636541-3564","https://www.serebii.net/pokedex-sm/515.shtml","515","Ice Punch","","",""
"1598636137-1720","https://www.serebii.net/pokedex-sm/667.shtml","667","Iron Tail","","",""
"1598637934-10969","https://www.serebii.net/pokedex-sm/036.shtml","36","Gravity","","",""
"1598636485-3296","https://www.serebii.net/pokedex-sm/537.shtml","537","Bounce","","",""
"1598635773-88","https://www.serebii.net/pokedex-sm/802.shtml","802","Role Play","","",""
"1598637886-10570","https://www.serebii.net/pokedex-sm/050.shtml","50","","","Feint Attack","Normal"
"1598638048-11739","https://www.serebii.net/pokedex-sm/005.shtml","5","","","Outrage",""
"1598636332-2616","https://www.serebii.net/pokedex-sm/594.shtml","594","Liquidation","","",""
"1598637611-8592","https://www.serebii.net/pokedex-sm/124.shtml","124","Helping Hand","","",""
"1598636966-5641","https://www.serebii.net/pokedex-sm/356.shtml","356","Ally Switch","","",""
"1598637226-6782","https://www.serebii.net/pokedex-sm/259.shtml","259","Endeavor","","",""
"1598635806-280","https://www.serebii.net/pokedex-sm/788.shtml","788","Icy Wind","","",""
"1598637038-5971","https://www.serebii.net/pokedex-sm/329.shtml","329","Outrage","","",""
"1598637283-7069","https://www.serebii.net/pokedex-sm/238.shtml","238","Recycle","","",""
"1598637527-8146","https://www.serebii.net/pokedex-sm/148.shtml","148","","","Supersonic",""
"1598637831-10086","https://www.serebii.net/pokedex-sm/065.shtml","65","Iron Tail","","",""
"1598636363-2712","https://www.serebii.net/pokedex-sm/583.shtml","583","Water Pulse","","",""
"1598636179-1917","https://www.serebii.net/pokedex-sm/650.shtml","650","Worry Seed","","",""
"1598637629-8683","https://www.serebii.net/pokedex-sm/119.shtml","119","Signal Beam","","",""
"1598636082-1459","https://www.serebii.net/pokedex-sm/689.shtml","689","Icy Wind","","",""
"1598636611-3902","https://www.serebii.net/pokedex-sm/491.shtml","491","Icy Wind","","",""
"1598636508-3417","https://www.serebii.net/pokedex-sm/528.shtml","528","Knock Off","","",""
"1598636552-3635","https://www.serebii.net/pokedex-sm/511.shtml","511","Knock Off","","",""
"1598636884-5208","https://www.serebii.net/pokedex-sm/387.shtml","387","Worry Seed","","",""
"1598635859-527","https://www.serebii.net/pokedex-sm/768.shtml","768","Snore","","",""
"1598637886-10564","https://www.serebii.net/pokedex-sm/050.shtml","50","Stealth Rock","Diglett","",""
"1598635789-211","https://www.serebii.net/pokedex-sm/795.shtml","795","Electroweb","","",""
"1598637507-7988","https://www.serebii.net/pokedex-sm/154.shtml","154","Seed Bomb","","",""
"1598637938-11009","https://www.serebii.net/pokedex-sm/035.shtml","35","Bounce","","",""
"1598636966-5639","https://www.serebii.net/pokedex-sm/356.shtml","356","Skill Swap","","",""
"1598636084-1467","https://www.serebii.net/pokedex-sm/688.shtml","688","Dual Chop","","",""
"1598637674-8994","https://www.serebii.net/pokedex-sm/107.shtml","107","Throat Chop","","",""
"1598636422-3009","https://www.serebii.net/pokedex-sm/562.shtml","562","Snore","","",""
"1598637968-11210","https://www.serebii.net/pokedex-sm/028.shtml","28","Iron Tail","Sandslash","",""
"1598636511-3448","https://www.serebii.net/pokedex-sm/527.shtml","527","Telekinesis","","",""
"1598637376-7431","https://www.serebii.net/pokedex-sm/203.shtml","203","Hyper Voice","","",""
"1598636934-5519","https://www.serebii.net/pokedex-sm/369.shtml","369","Stomping Tantrum","","",""
"1598637489-7924","https://www.serebii.net/pokedex-sm/161.shtml","161","Iron Tail","","",""
"1598637271-6994","https://www.serebii.net/pokedex-sm/242.shtml","242","Zen Headbutt","","",""
"1598636752-4644","https://www.serebii.net/pokedex-sm/438.shtml","438","Stealth Rock","","",""
"1598637859-10314","https://www.serebii.net/pokedex-sm/057.shtml","57","","","Revenge",""
"1598637349-7315","https://www.serebii.net/pokedex-sm/213.shtml","213","Helping Hand","","",""
"1598637168-6557","https://www.serebii.net/pokedex-sm/281.shtml","281","Snatch","","",""
"1598636887-5251","https://www.serebii.net/pokedex-sm/386.shtml","386","Role Play","Speed Forme","",""
"1598637873-10425","https://www.serebii.net/pokedex-sm/053.shtml","53","Icy Wind","Alola Form","",""
"1598637834-10147","https://www.serebii.net/pokedex-sm/064.shtml","64","","","Guard Split",""
"1598636503-3401","https://www.serebii.net/pokedex-sm/530.shtml","530","Magnet Rise","","",""
"1598635979-1007","https://www.serebii.net/pokedex-sm/728.shtml","728","Hyper Voice","","",""
"1598636483-3290","https://www.serebii.net/pokedex-sm/538.shtml","538","Knock Off","","",""
"1598637409-7558","https://www.serebii.net/pokedex-sm/191.shtml","191","Uproar","","",""
"1598636478-3259","https://www.serebii.net/pokedex-sm/540.shtml","540","Magic Coat","","",""
"1598637325-7223","https://www.serebii.net/pokedex-sm/222.shtml","222","Magic Coat","","",""
"1598637707-9223","https://www.serebii.net/pokedex-sm/098.shtml","98","","","Endure",""
"1598636130-1690","https://www.serebii.net/pokedex-sm/670.shtml","670","Snore","","",""
"1598636379-2785","https://www.serebii.net/pokedex-sm/577.shtml","577","Magic Coat","","",""
"1598638051-11759","https://www.serebii.net/pokedex-sm/004.shtml","4","","","Bite",""
"1598637851-10264","https://www.serebii.net/pokedex-sm/059.shtml","59","","","Morning Sun",""
"1598636458-3186","https://www.serebii.net/pokedex-sm/548.shtml","548","Worry Seed","","",""
"1598637707-9224","https://www.serebii.net/pokedex-sm/098.shtml","98","","","Chip Away",""
"1598637980-11364","https://www.serebii.net/pokedex-sm/025.shtml","25","","","Thunder Punch",""
"1598635886-656","https://www.serebii.net/pokedex-sm/758.shtml","758","Helping Hand","","",""
"1598637548-8243","https://www.serebii.net/pokedex-sm/142.shtml","142","","","Whirlwind",""
"1598635785-188","https://www.serebii.net/pokedex-sm/797.shtml","797","Iron Defense","","",""
"1598637801-9915","https://www.serebii.net/pokedex-sm/072.shtml","72","","","Mirror Coat",""
"1598636429-3072","https://www.serebii.net/pokedex-sm/559.shtml","559","Focus Punch","","",""
"1598635962-951","https://www.serebii.net/pokedex-sm/734.shtml","734","Endeavor","","",""
"1598637909-10732","https://www.serebii.net/pokedex-sm/043.shtml","43","","","Teeter Dance",""
"1598637008-5826","https://www.serebii.net/pokedex-sm/340.shtml","340","Water Pulse","","",""
"1598637186-6638","https://www.serebii.net/pokedex-sm/274.shtml","274","Defog","","",""
"1598636190-2003","https://www.serebii.net/pokedex-sm/646.shtml","646","Snore","White Kyurem","",""
"1598637376-7425","https://www.serebii.net/pokedex-sm/203.shtml","203","Signal Beam","","",""
"1598636803-4884","https://www.serebii.net/pokedex-sm/418.shtml","418","Icy Wind","","",""
"1598637827-10062","https://www.serebii.net/pokedex-sm/066.shtml","66","Helping Hand","","",""
"1598636822-4976","https://www.serebii.net/pokedex-sm/411.shtml","411","Stomping Tantrum","","",""
"1598636032-1227","https://www.serebii.net/pokedex-sm/709.shtml","709","Foul Play","","",""
"1598637049-6038","https://www.serebii.net/pokedex-sm/325.shtml","325","Snatch","","",""
"1598637750-9583","https://www.serebii.net/pokedex-sm/086.shtml","86","","","Belch",""
"1598637311-7180","https://www.serebii.net/pokedex-sm/227.shtml","227","Sky Attack","","",""
"1598637690-9146","https://www.serebii.net/pokedex-sm/103.shtml","103","","","Natural Gift",""
"1598637473-7850","https://www.serebii.net/pokedex-sm/167.shtml","167","Signal Beam","","",""
"1598637869-10396","https://www.serebii.net/pokedex-sm/054.shtml","54","Telekinesis","","",""
"1598637896-10638","https://www.serebii.net/pokedex-sm/047.shtml","47","Throat Chop","","",""
"1598635799-263","https://www.serebii.net/pokedex-sm/791.shtml","791","Iron Defense","","",""
"1598635974-988","https://www.serebii.net/pokedex-sm/730.shtml","730","Snore","","",""
"1598636374-2744","https://www.serebii.net/pokedex-sm/579.shtml","579","Magic Coat","","",""
"1598636681-4318","https://www.serebii.net/pokedex-sm/465.shtml","465","Giga Drain","","",""
"1598636643-4083","https://www.serebii.net/pokedex-sm/480.shtml","480","Magic Coat","","",""
"1598637761-9636","https://www.serebii.net/pokedex-sm/083.shtml","83","","","Covet",""
"1598636206-2107","https://www.serebii.net/pokedex-sm/640.shtml","640","Snore","","",""
"1598637817-10002","https://www.serebii.net/pokedex-sm/068.shtml","68","Superpower","","",""
"1598637212-6710","https://www.serebii.net/pokedex-sm/264.shtml","264","Super Fang","","",""
"1598638021-11609","https://www.serebii.net/pokedex-sm/013.shtml","13","Electroweb","","",""
"1598637033-5939","https://www.serebii.net/pokedex-sm/331.shtml","331","Giga Drain","","",""
"1598637771-9664","https://www.serebii.net/pokedex-sm/080.shtml","80","Signal Beam","","",""
"1598637025-5906","https://www.serebii.net/pokedex-sm/334.shtml","334","Defog","","",""
"1598637001-5795","https://www.serebii.net/pokedex-sm/343.shtml","343","Snore","","",""
"1598637906-10710","https://www.serebii.net/pokedex-sm/044.shtml","44","","","Synthesis",""
"1598637170-6567","https://www.serebii.net/pokedex-sm/280.shtml","280","Zen Headbutt","","",""
"1598637743-9510","https://www.serebii.net/pokedex-sm/088.shtml","88","","","Haze","Normal"
"1598637476-7857","https://www.serebii.net/pokedex-sm/166.shtml","166","Uproar","","",""
"1598635929-792","https://www.serebii.net/pokedex-sm/745.shtml","745","Iron Head","Midday Form","",""
"1598637223-6767","https://www.serebii.net/pokedex-sm/260.shtml","260","Water Pulse","","",""
"1598637301-7143","https://www.serebii.net/pokedex-sm/231.shtml","231","Stealth Rock","","",""
"1598637527-8148","https://www.serebii.net/pokedex-sm/148.shtml","148","","","Dragon Dance",""
"1598637030-5920","https://www.serebii.net/pokedex-sm/332.shtml","332","Block","","",""
"1598636473-3234","https://www.serebii.net/pokedex-sm/542.shtml","542","Magic Coat","","",""
"1598636695-4382","https://www.serebii.net/pokedex-sm/460.shtml","460","Seed Bomb","","",""
"1598637746-9559","https://www.serebii.net/pokedex-sm/087.shtml","87","","","Belch",""
"1598635989-1051","https://www.serebii.net/pokedex-sm/724.shtml","724","Defog","","",""
"1598637433-7662","https://www.serebii.net/pokedex-sm/182.shtml","182","Synthesis","","",""
"1598635830-394","https://www.serebii.net/pokedex-sm/779.shtml","779","Uproar","","",""
"1598636379-2787","https://www.serebii.net/pokedex-sm/577.shtml","577","Iron Defense","","",""
"1598637516-8019","https://www.serebii.net/pokedex-sm/151.shtml","151","Seed Bomb","","",""
"1598636552-3640","https://www.serebii.net/pokedex-sm/511.shtml","511","Gastro Acid","","",""
"1598636508-3427","https://www.serebii.net/pokedex-sm/528.shtml","528","Skill Swap","","",""
"1598636132-1701","https://www.serebii.net/pokedex-sm/669.shtml","669","Magic Coat","","",""
"1598637775-9707","https://www.serebii.net/pokedex-sm/079.shtml","79","Recycle","","",""
"1598637285-7074","https://www.serebii.net/pokedex-sm/237.shtml","237","Role Play","","",""
"1598635789-204","https://www.serebii.net/pokedex-sm/795.shtml","795","Bug Bite","","",""
"1598637707-9210","https://www.serebii.net/pokedex-sm/098.shtml","98","Snore","","",""
"1598636151-1751","https://www.serebii.net/pokedex-sm/661.shtml","661","Tailwind","","",""
"1598636720-4487","https://www.serebii.net/pokedex-sm/450.shtml","450","Iron Head","","",""
"1598636536-3532","https://www.serebii.net/pokedex-sm/517.shtml","517","Shock Wave","","",""
"1598636305-2529","https://www.serebii.net/pokedex-sm/603.shtml","603","Throat Chop","","",""
"1598637866-10367","https://www.serebii.net/pokedex-sm/055.shtml","55","Liquidation","","",""
"1598637945-11105","https://www.serebii.net/pokedex-sm/033.shtml","33","","","Endure",""
"1598636887-5265","https://www.serebii.net/pokedex-sm/386.shtml","386","Water Pulse","Attack Forme","",""
"1598637597-8506","https://www.serebii.net/pokedex-sm/128.shtml","128","Water Pulse","","",""
"1598637964-11191","https://www.serebii.net/pokedex-sm/029.shtml","29","","","Supersonic",""
"1598637214-6729","https://www.serebii.net/pokedex-sm/263.shtml","263","Icy Wind","","",""
"1598636915-5466","https://www.serebii.net/pokedex-sm/376.shtml","376","Laser Focus","","",""
"1598636778-4766","https://www.serebii.net/pokedex-sm/428.shtml","428","Iron Tail","","",""
"1598638062-11821","https://www.serebii.net/pokedex-sm/001.shtml","1","Knock Off","","",""
"1598637906-10705","https://www.serebii.net/pokedex-sm/044.shtml","44","Gastro Acid","","",""
"1598636736-4570","https://www.serebii.net/pokedex-sm/444.shtml","444","Stealth Rock","","",""
"1598637078-6133","https://www.serebii.net/pokedex-sm/314.shtml","314","Tailwind","","",""
"1598636174-1860","https://www.serebii.net/pokedex-sm/652.shtml","652","Super Fang","","",""
"1598637484-7889","https://www.serebii.net/pokedex-sm/163.shtml","163","Magic Coat","","",""
"1598636939-5534","https://www.serebii.net/pokedex-sm/367.shtml","367","Snatch","","",""
"1598637715-9270","https://www.serebii.net/pokedex-sm/096.shtml","96","Drain Punch","","",""
"1598636147-1739","https://www.serebii.net/pokedex-sm/663.shtml","663","Snore","","",""
"1598637968-11206","https://www.serebii.net/pokedex-sm/028.shtml","28","Covet","Alola Form","",""
"1598637682-9071","https://www.serebii.net/pokedex-sm/105.shtml","105","","","Screech",""
"1598637682-9075","https://www.serebii.net/pokedex-sm/105.shtml","105","","","Iron Head",""
"1598635893-684","https://www.serebii.net/pokedex-sm/755.shtml","755","Synthesis","","",""
"1598637972-11294","https://www.serebii.net/pokedex-sm/027.shtml","27","","","Icicle Spear","Alola Form"
"1598637618-8627","https://www.serebii.net/pokedex-sm/122.shtml","122","Thunder Punch","","",""
"1598636200-2066","https://www.serebii.net/pokedex-sm/642.shtml","642","Electroweb","Incarnate Forme","",""
"1598637647-8817","https://www.serebii.net/pokedex-sm/114.shtml","114","","","Wake-Up Slap
USUM Only",""
