web-scraper-order,web-scraper-start-url,Name,GameText,EffectDetail,DexNums
"1596676320-1792","https://www.serebii.net/abilitydex/hypercutter.shtml","Hyper Cutter","The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.","Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself.","739"
"1596676320-1793","https://www.serebii.net/abilitydex/hypercutter.shtml","Hyper Cutter","The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.","Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself.","740"
"1596676352-1932","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","514"
"1596676352-1952","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","820"
"1596676111-802","https://www.serebii.net/abilitydex/sapsipper.shtml","Sap Sipper","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","Attack is raised by one stage when the Pokémon is hit by a Grass-type move. User receives no damage from Grass-type attacks.","704"
"1596676275-1609","https://www.serebii.net/abilitydex/justified.shtml","Justified","Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.","Attack is raised by one stage when the Pokémon is hit by a Dark-type move","58"
"1596676215-1327","https://www.serebii.net/abilitydex/mummy.shtml","Mummy","Contact with the Pokémon changes the attacker's Ability to Mummy.","null","562"
"1596676167-1085","https://www.serebii.net/abilitydex/pressure.shtml","Pressure","By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1.","890"
"1596676422-2149","https://www.serebii.net/abilitydex/damp.shtml","Damp","Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.","Explosion, Selfdestruct, Mind Blown & Misty Explosion will not work while the Pokémon is on the field.","60"
"1596676199-1237","https://www.serebii.net/abilitydex/overgrow.shtml","Overgrow","Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.","651"
"1596676187-1173","https://www.serebii.net/abilitydex/pickup.shtml","Pickup","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.","659"
"1596676127-924","https://www.serebii.net/abilitydex/rockhead.shtml","Rock Head","Protects the Pokémon from recoil damage.","Does not receive recoil damage from recoil-causing damages.","305"
"1596676249-1414","https://www.serebii.net/abilitydex/magicguard.shtml","Magic Guard","The Pokémon only takes damage from attacks.","Prevents all damage except from direct-attack moves.","35"
"1596676075-605","https://www.serebii.net/abilitydex/snowwarning.shtml","Snow Warning","The Pokémon summons a hailstorm when it enters a battle.","Hailstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns.","460"
"1596676484-2423","https://www.serebii.net/abilitydex/aftermath.shtml","Aftermath","Damages the attacker if it contacts the Pokémon with a finishing hit.","The foe that dealt the final hit loses 1/4 of its maximum HP if the move made physical contact.","426"
"1596675963-44","https://www.serebii.net/abilitydex/waterveil.shtml","Water Veil","The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.","This Pokémon cannot be Burned while having this ability.","226"
"1596676051-543","https://www.serebii.net/abilitydex/static.shtml","Static","The Pokémon is charged with static electricity, so contact with it may cause paralysis.","The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon.","310"
"1596676454-2339","https://www.serebii.net/abilitydex/bigpecks.shtml","Big Pecks","Protects the Pokémon from Defense-lowering effects.","null","16"
"1596676267-1512","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","455"
"1596676416-2138","https://www.serebii.net/abilitydex/dauntlessshield.shtml","Dauntless Shield","Boosts the Pokémon's Defense stat when the Pokémon enters a battle.","null","889"
"1596676145-1025","https://www.serebii.net/abilitydex/raindish.shtml","Rain Dish","The Pokémon gradually regains HP in rain.","If Heavy Rain weather is in effect, recovers 1/16th max Hit Points at the end of the turn.","283"
"1596676143-1006","https://www.serebii.net/abilitydex/rattled.shtml","Rattled","Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.","Speed is raised by one stage when the Pokémon is hit by a Bug-type, Ghost-type or Dark-type move or is Intimidated","209"
"1596676201-1262","https://www.serebii.net/abilitydex/overcoat.shtml","Overcoat","Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc.","540"
"1596676093-685","https://www.serebii.net/abilitydex/shellarmor.shtml","Shell Armor","A hard shell protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit.","131"
"1596676033-453","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","411"
"1596676410-2128","https://www.serebii.net/abilitydex/defiant.shtml","Defiant","Boosts the Pokémon's Attack stat sharply when its stats are lowered.","Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies","641"
"1596676203-1279","https://www.serebii.net/abilitydex/oblivious.shtml","Oblivious","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability.","320"
"1596676362-1971","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","710"
"1596676199-1245","https://www.serebii.net/abilitydex/overgrow.shtml","Overgrow","Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.","812"
"1596676352-1920","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","20"
"1596676015-304","https://www.serebii.net/abilitydex/tangledfeet.shtml","Tangled Feet","Raises evasion if the Pokémon is confused.","Pokémon’s evasion raises one level when Confused.","17"
"1596676269-1542","https://www.serebii.net/abilitydex/leafguard.shtml","Leaf Guard","Prevents status conditions in sunny weather.","Prevents the Pokémon from being afflicted by status conditions during strong sunlight.","541"
"1596676121-864","https://www.serebii.net/abilitydex/sandforce.shtml","Sand Force","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Ground-type, Rock-type & Steel-type moves have their power increased by 33% in a Sandstorm","50"
"1596676029-425","https://www.serebii.net/abilitydex/superluck.shtml","Super Luck","The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.","Raises the critical-hit ratio of moves by one level.","176"
"1596676039-494","https://www.serebii.net/abilitydex/stickyhold.shtml","Sticky Hold","Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.","This Pokémon’s item cannot be taken.","317"
"1596676011-288","https://www.serebii.net/abilitydex/technician.shtml","Technician","Powers up the Pokémon's weaker moves.","Moves with a base power of 60 or less are boosted in power by 50%","572"
"1596676203-1272","https://www.serebii.net/abilitydex/oblivious.shtml","Oblivious","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability.","108"
"1596676402-2111","https://www.serebii.net/abilitydex/download.shtml","Download","Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk statâ€”whichever will be more effective.","Attack is increased when the foe’s Defense is lower than its Special Defense or increases Special Attack when the foe’s Special Defense is lower than its Defense.","137"
"1596676422-2158","https://www.serebii.net/abilitydex/damp.shtml","Damp","Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.","Explosion, Selfdestruct, Mind Blown & Misty Explosion will not work while the Pokémon is on the field.","117"
"1596676269-1539","https://www.serebii.net/abilitydex/leafguard.shtml","Leaf Guard","Prevents status conditions in sunny weather.","Prevents the Pokémon from being afflicted by status conditions during strong sunlight.","189"
"1596676267-1490","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","93"
"1596676003-215","https://www.serebii.net/abilitydex/tintedlens.shtml","Tinted Lens","The Pokémon can use â€œnot very effectiveâ€ moves to deal regular damage.","The power of “not very effective” moves is doubled.","469"
"1596676009-254","https://www.serebii.net/abilitydex/telepathy.shtml","Telepathy","Anticipates an ally's attack and dodges it.","Prevents damage from team-mates during Double and Triple battles","765"
"1596676179-1141","https://www.serebii.net/abilitydex/poisonpoint.shtml","Poison Point","Contact with the Pokémon may poison the attacker.","The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon.","691"
"1596676021-336","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","129"
"1596676187-1161","https://www.serebii.net/abilitydex/pickup.shtml","Pickup","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.","52"
"1596676480-2419","https://www.serebii.net/abilitydex/analytic.shtml","Analytic","Boosts move power when the Pokémon moves last.","Attack power increases by 30% if the Pokémon is the last Pokémon to attack this turn","605"
"1596676001-203","https://www.serebii.net/abilitydex/torrent.shtml","Torrent","Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%.","728"
"1596676324-1820","https://www.serebii.net/abilitydex/hustle.shtml","Hustle","Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.","176"
"1596676382-2062","https://www.serebii.net/abilitydex/filter.shtml","Filter","Reduces the power of supereffective attacks taken.","Damage by super-effective moves is reduced by 25%.","122"
"1596676091-672","https://www.serebii.net/abilitydex/shielddust.shtml","Shield Dust","This Pokémon's dust blocks the additional effects of attacks taken.","Damaging moves used by the opponent will not have an additional effect.","269"
"1596676113-817","https://www.serebii.net/abilitydex/sandveil.shtml","Sand Veil","Boosts the Pokémon's evasion in a sandstorm.","Raises the Pokémon’s evasion during a sandstorm by one level.","50"
"1596675957-11","https://www.serebii.net/abilitydex/wimpout.shtml","Wimp Out","The Pokémon cowardly switches out when its HP becomes half or less.","When the Pokémon's Hit Points hit 50% or less, the Pokémon will switch out. Works once per battle. The Pokémon will not switch out if it drops below 50% due to Confusion, Weather, use of Substitute or when the damage inflicted is by a Pokémon with the Sheer Force ability. It will not activate if health is brought back up above 50% due to a hold item","767"
"1596676047-514","https://www.serebii.net/abilitydex/steamengine.shtml","Steam Engine","Boosts the Pokémon's Speed stat drastically if hit by a Fire- or Water-type move.","When this Pokémon is hit by a Fire-type or Water-type move, its Speed is increased by 6 stages","839"
"1596676277-1615","https://www.serebii.net/abilitydex/ironfist.shtml","Iron Fist","Powers up punching moves.","The power of punching moves is increased by 20%.","622"
"1596676019-328","https://www.serebii.net/abilitydex/symbiosis.shtml","Symbiosis","The Pokémon passes its item to an ally that has used up an item.","Passes the Pokémon's hold item to its adjacent ally when that ally consumes its hold item","669"
"1596676362-1982","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","161"
"1596676167-1072","https://www.serebii.net/abilitydex/pressure.shtml","Pressure","By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1.","359"
"1596675999-176","https://www.serebii.net/abilitydex/toughclaws.shtml","Tough Claws","Powers up moves that make direct contact.","Increases the power of moves that make physical contact by 30%","52"
"1596676394-2101","https://www.serebii.net/abilitydex/dryskin.shtml","Dry Skin","Restores HP in rain or when hit by Water-type moves. Reduces HP in sunshine, and increases the damage received from Fire-type moves.","HP is restored when hit by Water-type moves or when it is raining but also makes the Pokémon weak to Fire-type moves and reduces HP during strong sunlight.","124"
"1596676021-364","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","54"
"1596676113-829","https://www.serebii.net/abilitydex/sandveil.shtml","Sand Veil","Boosts the Pokémon's evasion in a sandstorm.","Raises the Pokémon’s evasion during a sandstorm by one level.","74"
"1596676332-1858","https://www.serebii.net/abilitydex/heavymetal.shtml","Heavy Metal","Doubles the Pokémon's weight.","null","437"
"1596676097-738","https://www.serebii.net/abilitydex/shedskin.shtml","Shed Skin","The Pokémon may heal its own status conditions by shedding its skin.","Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE).","11"
"1596675981-136","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","760"
"1596676267-1521","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","482"
"1596676336-1866","https://www.serebii.net/abilitydex/healer.shtml","Healer","Sometimes heals an ally's status condition.","At the end of the turn, there is a 30% chance of either Ally being healed from a status condition","531"
"1596676462-2363","https://www.serebii.net/abilitydex/battlearmor.shtml","Battle Armor","Hard armor protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit.","451"
"1596676480-2420","https://www.serebii.net/abilitydex/analytic.shtml","Analytic","Boosts move power when the Pokémon moves last.","Attack power increases by 30% if the Pokémon is the last Pokémon to attack this turn","606"
"1596676380-2044","https://www.serebii.net/abilitydex/flamebody.shtml","Flame Body","Contact with the Pokémon may burn the attacker.","The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.","467"
"1596676261-1473","https://www.serebii.net/abilitydex/lightningrod.shtml","Lightning Rod","The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.","Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage.","26"
"1596676444-2237","https://www.serebii.net/abilitydex/clearbody.shtml","Clear Body","Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.","Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.","72"
"1596676051-540","https://www.serebii.net/abilitydex/static.shtml","Static","The Pokémon is charged with static electricity, so contact with it may cause paralysis.","The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon.","181"
"1596676267-1497","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","330"
"1596676011-297","https://www.serebii.net/abilitydex/technician.shtml","Technician","Powers up the Pokémon's weaker moves.","Moves with a base power of 60 or less are boosted in power by 50%","849"
"1596676430-2196","https://www.serebii.net/abilitydex/corrosion.shtml","Corrosion","The Pokémon can poison the target even if it's a Steel or Poison type.","null","757"
"1596676296-1646","https://www.serebii.net/abilitydex/intimidate.shtml","Intimidate","The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches.","237"
"1596676051-548","https://www.serebii.net/abilitydex/static.shtml","Static","The Pokémon is charged with static electricity, so contact with it may cause paralysis.","The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon.","145"
"1596676113-832","https://www.serebii.net/abilitydex/sandveil.shtml","Sand Veil","Boosts the Pokémon's evasion in a sandstorm.","Raises the Pokémon’s evasion during a sandstorm by one level.","231"
"1596676247-1411","https://www.serebii.net/abilitydex/magician.shtml","Magician","The Pokémon steals the held item of a Pokémon it hits with a move.","null","655"
"1596675995-170","https://www.serebii.net/abilitydex/trace.shtml","Trace","When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.","Ability becomes the same as that of the opponent. Switching this Pokémon out of battle restores its original ability. In a Double/Triple Battle, a random opponent’s ability will be copied.","233"
"1596676033-472","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","777"
"1596676123-876","https://www.serebii.net/abilitydex/runaway.shtml","Run Away","Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability.","19"
"1596676131-942","https://www.serebii.net/abilitydex/rivalry.shtml","Rivalry","Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.","Attack & Special Attack is increased by 25% if the foe is of the same gender; Attack & Special Attack is decreased by 25% if the foe is of the opposite gender.","404"
"1596676434-2215","https://www.serebii.net/abilitydex/compoundeyes.shtml","Compoundeyes","The Pokémon's compound eyes boost its accuracy.","Raises the Pokémon’s accuracy by 30%.","666"
"1596676021-367","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","61"
"1596676057-555","https://www.serebii.net/abilitydex/stalwart.shtml","Stalwart","Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.","null","884"
"1596676147-1032","https://www.serebii.net/abilitydex/quickfeet.shtml","Quick Feet","Boosts the Speed stat if the Pokémon has a status condition.","Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored.","262"
"1596676378-2038","https://www.serebii.net/abilitydex/flareboost.shtml","Flare Boost","Powers up special attacks when the Pokémon is burned.","Special Attack stat increased by 50% when burned","425"
"1596676271-1559","https://www.serebii.net/abilitydex/klutz.shtml","Klutz","The Pokémon can't use any held items.","The Pokémon cannot receive any effect of hold items except those that affect experience such as Exp.Share or Macho Brace.","622"
"1596676095-735","https://www.serebii.net/abilitydex/sheerforce.shtml","Sheer Force","Removes additional effects to increase the power of moves when attacking.","Moves with a secondary effect are increased in power by 30% but lose their secondary effect","409"
"1596676446-2265","https://www.serebii.net/abilitydex/chlorophyll.shtml","Chlorophyll","Boosts the Pokémon's Speed stat in sunshine.","When sunny, the Pokémon’s Speed doubles.","189"
"1596676452-2320","https://www.serebii.net/abilitydex/blaze.shtml","Blaze","Powers up Fire-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%.","654"
"1596676422-2163","https://www.serebii.net/abilitydex/damp.shtml","Damp","Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.","Explosion, Selfdestruct, Mind Blown & Misty Explosion will not work while the Pokémon is on the field.","592"
"1596675981-130","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","248"
"1596676021-366","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","60"
"1596676025-411","https://www.serebii.net/abilitydex/swarm.shtml","Swarm","Powers up Bug-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Bug-type moves is increased by 50%.","826"
"1596676340-1903","https://www.serebii.net/abilitydex/guts.shtml","Guts","It's so gutsy that having a status condition boosts the Pokémon's Attack stat.","Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied.","403"
"1596676167-1071","https://www.serebii.net/abilitydex/pressure.shtml","Pressure","By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1.","356"
"1596675969-55","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","60"
"1596676039-496","https://www.serebii.net/abilitydex/stickyhold.shtml","Sticky Hold","Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.","This Pokémon’s item cannot be taken.","423"
"1596675981-116","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","822"
"1596676346-1912","https://www.serebii.net/abilitydex/grasspelt.shtml","Grass Pelt","Boosts the Pokémon's Defense stat in  Grassy Terrain.","Increases Defense by 50% when battling on Grass or if the move Grassy Terrain is in effect","672"
"1596676187-1166","https://www.serebii.net/abilitydex/pickup.shtml","Pickup","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.","263"
"1596676185-1155","https://www.serebii.net/abilitydex/pixilate.shtml","Pixilate","Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.","Increases the power of Normal-type moves by 20%. It then changes those moves to Fairy-type.","282"
"1596676352-1931","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","513"
"1596676229-1374","https://www.serebii.net/abilitydex/mistysurge.shtml","Misty Surge","Turns the ground into Misty Terrain when the Pokémon enters a battle.","Activates Misty Terrain for 5 turns when the Pokémon enters a battle.","788"
"1596675987-161","https://www.serebii.net/abilitydex/turboblaze.shtml","Turboblaze","Moves can be used on the target regardless of its Abilities.","null","646"
"1596675999-182","https://www.serebii.net/abilitydex/toughclaws.shtml","Tough Claws","Powers up moves that make direct contact.","Increases the power of moves that make physical contact by 30%","863"
"1596676442-2234","https://www.serebii.net/abilitydex/cloudnine.shtml","Cloud Nine","Eliminates the effects of weather.","All weather effects are negated while the Pokémon is on the field.","334"
