web-scraper-order,web-scraper-start-url,Name,GameText,EffectDetail,DexNum,DexImage-src
"1596680290-4626","https://www.serebii.net/abilitydex/flashfire.shtml","Flash Fire","Powers up the Pokémon's Fire-type moves if it's hit by one.","Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect.","37","/pokedex-swsh/icon/037.png"
"1596680140-3961","https://www.serebii.net/abilitydex/moody.shtml","Moody","Raises one stat sharply and lowers another every turn.","At the end of every turn, a random stat (except Accuracy and Evasion) is raised by two stages while another is lowered by one stage.","223","/pokedex-swsh/icon/223.png"
"1596680174-4069","https://www.serebii.net/abilitydex/limber.shtml","Limber","Its limber body protects the Pokémon from paralysis.","The Pokémon cannot be Paralysed while having this ability.","428","/pokedex-swsh/icon/428.png"
"1596679919-2996","https://www.serebii.net/abilitydex/sweetveil.shtml","Sweet Veil","Prevents itself and ally Pokémon from falling asleep.","null","761","/pokedex-swsh/icon/761.png"
"1596680348-4827","https://www.serebii.net/abilitydex/compoundeyes.shtml","Compoundeyes","The Pokémon's compound eyes boost its accuracy.","Raises the Pokémon’s accuracy by 30%.","666","/pokedex-sm/icon/666.png"
"1596679913-2934","https://www.serebii.net/abilitydex/synchronize.shtml","Synchronize","The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.","When this Pokémon becomes Poisoned, Paralyzed, or Burned, so does the opponent. However, Fire-type and Water Veil ability Pokémon cannot be Burned, Poison-type and Steel-type and Immunity ability Pokémon cannot be Poisoned, and Limber ability Pokémon cannot be Paralyzed.","517","/pokedex-swsh/icon/517.png"
"1596680278-4607","https://www.serebii.net/abilitydex/friendguard.shtml","Friend Guard","Reduces damage done to allies.","In Double & Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%.","665","/pokedex-sm/icon/665.png"
"1596680082-3686","https://www.serebii.net/abilitydex/pressure.shtml","Pressure","By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1.","416","/pokedex-swsh/icon/416.png"
"1596679975-3260","https://www.serebii.net/abilitydex/slushrush.shtml","Slush Rush","Boosts the Pokémon's Speed stat in a hailstorm.","Doubles the Pokémon's Speed when Hail is in effect","883","/pokedex-swsh/icon/883.png"
"1596680018-3398","https://www.serebii.net/abilitydex/scrappy.shtml","Scrappy","The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.","Allows the Pokémon to hit Ghost-type Pokémon with Normal-type and Fighting-type moves. Blocks Intimidate","277","/pokedex-sm/icon/277.png"
"1596680203-4288","https://www.serebii.net/abilitydex/insomnia.shtml","Insomnia","The Pokémon is suffering from insomnia and cannot fall asleep.","The Pokémon cannot be put to Sleep while having this ability.","168","/pokedex-sm/icon/168.png"
"1596680276-4578","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","574","/pokedex-swsh/icon/574.png"
"1596680266-4566","https://www.serebii.net/abilitydex/galvanize.shtml","Galvanize","Normal-type moves become Electric-type moves. The power of those moves is boosted a little.","Increases the power of Normal-type moves by 20%. It then changes those moves to Electric-type.","75","/pokedex-sm/icon/075-a.png"
"1596680144-3987","https://www.serebii.net/abilitydex/mistysurge.shtml","Misty Surge","Turns the ground into Misty Terrain when the Pokémon enters a battle.","Activates Misty Terrain for 5 turns when the Pokémon enters a battle.","110","/pokedex-swsh/icon/110-g.png"
"1596680112-3812","https://www.serebii.net/abilitydex/owntempo.shtml","Own Tempo","This Pokémon has its own tempo, and that prevents it from becoming confused.","The Pokémon cannot be Confused while having this ability. Blocks Intimidate","199","/pokedex-swsh/icon/199.png"
"1596680201-4271","https://www.serebii.net/abilitydex/intimidate.shtml","Intimidate","The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches.","551","/pokedex-swsh/icon/551.png"
"1596679899-2828","https://www.serebii.net/abilitydex/tintedlens.shtml","Tinted Lens","The Pokémon can use â€œnot very effectiveâ€ moves to deal regular damage.","The power of “not very effective” moves is doubled.","12","/pokedex-swsh/icon/012.png"
"1596679865-2683","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","883","/pokedex-swsh/icon/883.png"
"1596679930-3077","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","790","/pokedex-swsh/icon/790.png"
"1596680372-4966","https://www.serebii.net/abilitydex/beastboost.shtml","Beast Boost","The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.","Increases the Pokémon's highest stat when it knocks out a Pokémon","804","/pokedex-sm/icon/804.png"
"1596680071-3658","https://www.serebii.net/abilitydex/psychicsurge.shtml","Psychic Surge","Turns the ground into Psychic Terrain when the Pokémon enters a battle.","Activates Psychic Terrain for 5 turns when the Pokémon enters a battle.","786","/pokedex-sm/icon/786.png"
"1596680364-4912","https://www.serebii.net/abilitydex/bulletproof.shtml","Bulletproof","Protects the Pokémon from some ball and bomb moves.","null","831","/pokedex-swsh/icon/831.png"
"1596680360-4870","https://www.serebii.net/abilitydex/chlorophyll.shtml","Chlorophyll","Boosts the Pokémon's Speed stat in sunshine.","When sunny, the Pokémon’s Speed doubles.","71","/pokedex-sm/icon/071.png"
"1596680189-4178","https://www.serebii.net/abilitydex/keeneye.shtml","Keen Eye","Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.","Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent","17","/pokedex-sm/icon/017.png"
"1596680391-5006","https://www.serebii.net/abilitydex/anticipation.shtml","Anticipation","The Pokémon can sense an opposing Pokémon's dangerous moves.","Warns when the foe knows 1-hit KO or super-effective moves.","858","/pokedex-swsh/icon/858-gi.png"
"1596679897-2797","https://www.serebii.net/abilitydex/torrent.shtml","Torrent","Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%.","8","/pokedex-swsh/icon/008.png"
"1596680372-4959","https://www.serebii.net/abilitydex/beastboost.shtml","Beast Boost","The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.","Increases the Pokémon's highest stat when it knocks out a Pokémon","794","/pokedex-sm/icon/794.png"
"1596680103-3774","https://www.serebii.net/abilitydex/pickup.shtml","Pickup","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.","190","/pokedex-sm/icon/190.png"
"1596679865-2667","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","60","/pokedex-swsh/icon/060.png"
"1596679868-2701","https://www.serebii.net/abilitydex/voltabsorb.shtml","Volt Absorb","Restores HP if hit by an Electric-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Electric-type moves.","880","/pokedex-swsh/icon/880.png"
"1596679925-3030","https://www.serebii.net/abilitydex/superluck.shtml","Super Luck","The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.","Raises the critical-hit ratio of moves by one level.","198","/pokedex-sm/icon/198.png"
"1596680136-3948","https://www.serebii.net/abilitydex/moxie.shtml","Moxie","The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.","Attack is raised by one stage when the Pokémon knocks out another Pokémon","560","/pokedex-swsh/icon/560.png"
"1596680166-4041","https://www.serebii.net/abilitydex/magicbounce.shtml","Magic Bounce","Reflects status moves, instead of getting hit by them.","Reflects non-attacking moves used on the Pokémon back to the attacking Pokémon","196","/pokedex-swsh/icon/196.png"
"1596680018-3405","https://www.serebii.net/abilitydex/scrappy.shtml","Scrappy","The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.","Allows the Pokémon to hit Ghost-type Pokémon with Normal-type and Fighting-type moves. Blocks Intimidate","865","/pokedex-swsh/icon/865.png"
"1596679930-3054","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","204","/pokedex-sm/icon/204.png"
"1596680035-3474","https://www.serebii.net/abilitydex/sandforce.shtml","Sand Force","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Ground-type, Rock-type & Steel-type moves have their power increased by 33% in a Sandstorm","645","/pokedex-sm/icon/645.png"
"1596679925-3035","https://www.serebii.net/abilitydex/superluck.shtml","Super Luck","The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.","Raises the critical-hit ratio of moves by one level.","521","/pokedex-swsh/icon/521.png"
"1596679917-2956","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","260","/pokedex-sm/icon/260-m.png"
"1596680061-3648","https://www.serebii.net/abilitydex/quickfeet.shtml","Quick Feet","Boosts the Speed stat if the Pokémon has a status condition.","Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored.","264","/pokedex-swsh/icon/264.png"
"1596679907-2893","https://www.serebii.net/abilitydex/technician.shtml","Technician","Powers up the Pokémon's weaker moves.","Moves with a base power of 60 or less are boosted in power by 50%","53","/pokedex-swsh/icon/053-a.png"
"1596680158-4012","https://www.serebii.net/abilitydex/magnetpull.shtml","Magnet Pull","Prevents Steel-type Pokémon from escaping using its magnetic force.","Steel types cannot run nor switch while this Pokémon is in battle. Because the opponent’s switching is blocked, the opponent cannot switch on the turn this Pokémon switches out of battle. The opponent may still switch with Baton Pass.","299","/pokedex-sm/icon/299.png"
"1596680392-5019","https://www.serebii.net/abilitydex/angerpoint.shtml","Anger Point","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.","Increases Attack to maximum level upon taking a critical hit.","739","/pokedex-sm/icon/739.png"
"1596680225-4403","https://www.serebii.net/abilitydex/hypercutter.shtml","Hyper Cutter","The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.","Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself.","472","/pokedex-sm/icon/472.png"
"1596680177-4080","https://www.serebii.net/abilitydex/lightningrod.shtml","Lightning Rod","The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.","Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage.","523","/pokedex-sm/icon/523.png"
"1596679917-2960","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","283","/pokedex-sm/icon/283.png"
"1596680316-4724","https://www.serebii.net/abilitydex/download.shtml","Download","Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk statâ€”whichever will be more effective.","Attack is increased when the foe’s Defense is lower than its Special Defense or increases Special Attack when the foe’s Special Defense is lower than its Defense.","233","/pokedex-swsh/icon/233.png"
"1596680037-3504","https://www.serebii.net/abilitydex/runaway.shtml","Run Away","Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability.","417","/pokedex-sm/icon/417.png"
"1596680168-4048","https://www.serebii.net/abilitydex/longreach.shtml","Long Reach","The Pokémon uses its moves without making contact with the target.","null","724","/pokedex-swsh/icon/724.png"
"1596680115-3834","https://www.serebii.net/abilitydex/overgrow.shtml","Overgrow","Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.","3","/pokedex-swsh/icon/003.png"
"1596679980-3268","https://www.serebii.net/abilitydex/skilllink.shtml","Skill Link","Maximizes the number of times multi-strike moves hit.","Moves that attack 2-5 times always hit 5 times.","190","/pokedex-sm/icon/190.png"
"1596680205-4326","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","244","/pokedex-sm/icon/244.png"
"1596680059-3631","https://www.serebii.net/abilitydex/raindish.shtml","Rain Dish","The Pokémon gradually regains HP in rain.","If Heavy Rain weather is in effect, recovers 1/16th max Hit Points at the end of the turn.","9","/pokedex-swsh/icon/009.png"
"1596679897-2822","https://www.serebii.net/abilitydex/torrent.shtml","Torrent","Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%.","515","/pokedex-sm/icon/515.png"
"1596679899-2829","https://www.serebii.net/abilitydex/tintedlens.shtml","Tinted Lens","The Pokémon can use â€œnot very effectiveâ€ moves to deal regular damage.","The power of “not very effective” moves is doubled.","12","/pokedex-swsh/icon/012-gi.png"
"1596679994-3344","https://www.serebii.net/abilitydex/sheerforce.shtml","Sheer Force","Removes additional effects to increase the power of moves when attacking.","Moves with a secondary effect are increased in power by 30% but lose their secondary effect","328","/pokedex-swsh/icon/328.png"
"1596679897-2813","https://www.serebii.net/abilitydex/torrent.shtml","Torrent","Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%.","657","/pokedex-sm/icon/657.png"
"1596680360-4890","https://www.serebii.net/abilitydex/chlorophyll.shtml","Chlorophyll","Boosts the Pokémon's Speed stat in sunshine.","When sunny, the Pokémon’s Speed doubles.","549","/pokedex-swsh/icon/549.png"
"1596680336-4764","https://www.serebii.net/abilitydex/damp.shtml","Damp","Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.","Explosion, Selfdestruct, Mind Blown & Misty Explosion will not work while the Pokémon is on the field.","186","/pokedex-swsh/icon/186.png"
"1596680033-3464","https://www.serebii.net/abilitydex/sandrush.shtml","Sand Rush","Boosts the Pokémon's Speed stat in a sandstorm.","Speed is doubled within a sandstorm","530","/pokedex-swsh/icon/530.png"
"1596680037-3505","https://www.serebii.net/abilitydex/runaway.shtml","Run Away","Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability.","427","/pokedex-swsh/icon/427.png"
"1596680205-4310","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","448","/pokedex-swsh/icon/448.png"
"1596680117-3869","https://www.serebii.net/abilitydex/overcoat.shtml","Overcoat","Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc.","372","/pokedex-sm/icon/372.png"
"1596680117-3878","https://www.serebii.net/abilitydex/overcoat.shtml","Overcoat","Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc.","616","/pokedex-swsh/icon/616.png"
"1596680182-4101","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","92","/pokedex-swsh/icon/092.png"
"1596679917-2953","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","211","/pokedex-swsh/icon/211.png"
"1596680252-4505","https://www.serebii.net/abilitydex/guts.shtml","Guts","It's so gutsy that having a status condition boosts the Pokémon's Attack stat.","Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied.","276","/pokedex-sm/icon/276.png"
"1596680037-3500","https://www.serebii.net/abilitydex/runaway.shtml","Run Away","Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability.","190","/pokedex-sm/icon/190.png"
"1596680366-4917","https://www.serebii.net/abilitydex/blaze.shtml","Blaze","Powers up Fire-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%.","6","/pokedex-swsh/icon/006.png"
"1596679917-2975","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","847","/pokedex-swsh/icon/847.png"
"1596680338-4778","https://www.serebii.net/abilitydex/cutecharm.shtml","Cute Charm","Contact with the Pokémon may cause infatuation.","The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon.","36","/pokedex-swsh/icon/036.png"
"1596679880-2771","https://www.serebii.net/abilitydex/unaware.shtml","Unaware","When attacking, the Pokémon ignores the target Pokémon's stat changes.","Foe’s stat modifications are ignored.","771","/pokedex-swsh/icon/771.png"
"1596679877-2743","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","284","/pokedex-sm/icon/284.png"
"1596680174-4056","https://www.serebii.net/abilitydex/limber.shtml","Limber","Its limber body protects the Pokémon from paralysis.","The Pokémon cannot be Paralysed while having this ability.","53","/pokedex-swsh/icon/053.png"
"1596680057-3617","https://www.serebii.net/abilitydex/rattled.shtml","Rattled","Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.","Speed is raised by one stage when the Pokémon is hit by a Bug-type, Ghost-type or Dark-type move or is Intimidated","206","/pokedex-swsh/icon/206.png"
"1596680360-4895","https://www.serebii.net/abilitydex/chlorophyll.shtml","Chlorophyll","Boosts the Pokémon's Speed stat in sunshine.","When sunny, the Pokémon’s Speed doubles.","2","/pokedex-swsh/icon/002.png"
"1596679947-3148","https://www.serebii.net/abilitydex/static.shtml","Static","The Pokémon is charged with static electricity, so contact with it may cause paralysis.","The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon.","125","/pokedex-sm/icon/125.png"
"1596680027-3433","https://www.serebii.net/abilitydex/sandveil.shtml","Sand Veil","Boosts the Pokémon's evasion in a sandstorm.","Raises the Pokémon’s evasion during a sandstorm by one level.","331","/pokedex-sm/icon/331.png"
"1596680182-4105","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","110","/pokedex-swsh/icon/110-g.png"
"1596679877-2744","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","416","/pokedex-swsh/icon/416.png"
"1596680324-4731","https://www.serebii.net/abilitydex/defiant.shtml","Defiant","Boosts the Pokémon's Attack stat sharply when its stats are lowered.","Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies","625","/pokedex-swsh/icon/625.png"
"1596680346-4810","https://www.serebii.net/abilitydex/contrary.shtml","Contrary","Makes stat changes have an opposite effect.","Moves used on the Pokémon that raise stats lower the stats, while the moves that lower the stats raise the stat","686","/pokedex-swsh/icon/686.png"
"1596680332-4751","https://www.serebii.net/abilitydex/darkaura.shtml","Dark Aura","Powers up each Pokémon's Dark-type moves.","Powers up every Pokémon in play's Dark-type moves by 33.3%","717","/pokedex-sm/icon/717.png"
"1596680033-3462","https://www.serebii.net/abilitydex/sandrush.shtml","Sand Rush","Boosts the Pokémon's Speed stat in a sandstorm.","Speed is doubled within a sandstorm","508","/pokedex-swsh/icon/508.png"
"1596680104-3802","https://www.serebii.net/abilitydex/pickpocket.shtml","Pickpocket","Steals an item from an attacker that made direct contact.","When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen.","861","/pokedex-swsh/icon/861-gi.png"
"1596679946-3129","https://www.serebii.net/abilitydex/steadfast.shtml","Steadfast","The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.","Speed raises by one level every time the Pokémon flinches.","236","/pokedex-swsh/icon/236.png"
