web-scraper-order,web-scraper-start-url,PrimaryType,SecondaryType,DexNum,Name,Form,FormPrimaryType,FormSecondaryType
"1596755020-5938","https://www.serebii.net/pokedex-sm/231.shtml","Ground-type","null","231","Phanpy","","",""
"1596754544-5694","https://www.serebii.net/pokedex-swsh/togekiss","Fairy-type","Flying-type","468","Togekiss","","",""
"1596755060-5959","https://www.serebii.net/pokedex-swsh/qwilfish","Water-type","Poison-type","211","Qwilfish","","",""
"1596754841-5847","https://www.serebii.net/pokedex-swsh/wailmer","Water-type","null","320","Wailmer","","",""
"1596754800-5827","https://www.serebii.net/pokedex-swsh/whiscash","Water-type","Ground-type","340","Whiscash","","",""
"1596755122-5990","https://www.serebii.net/pokedex-sm/180.shtml","Electric-type","null","180","Flaaffy","","",""
"1596754265-5544","https://www.serebii.net/pokedex-swsh/litwick","Ghost-type","Fire-type","607","Litwick","","",""
"1596755373-6129","https://www.serebii.net/pokedex-swsh/golduck","Water-type","null","55","Golduck","","",""
"1596755245-6052","https://www.serebii.net/pokedex-swsh/seaking","Water-type","null","119","Seaking","","",""
"1596755405-6150","https://www.serebii.net/pokedex-swsh/jigglypuff","Normal-type","Fairy-type","39","Jigglypuff","","",""
"1596754364-5594","https://www.serebii.net/pokedex-swsh/crustle","Bug-type","Rock-type","558","Crustle","","",""
"1596754151-5485","https://www.serebii.net/pokedex-sm/664.shtml","Bug-type","null","664","Scatterbug","","",""
"1596755329-6103","https://www.serebii.net/pokedex-swsh/ponyta","Fire-type","null","77","Ponyta","Normal","Fire-type","null"
"1596754119-5469","https://www.serebii.net/pokedex-swsh/doublade","Steel-type","Ghost-type","680","Doublade","","",""
"1596755199-6028","https://www.serebii.net/pokedex-sm/142.shtml","Rock-type","Flying-type","142","Aerodactyl","","",""
"1596754236-5528","https://www.serebii.net/pokedex-swsh/golett","Ground-type","Ghost-type","622","Golett","","",""
"1596755252-6056","https://www.serebii.net/pokedex-swsh/kangaskhan","Normal-type","null","115","Kangaskhan","","",""
"1596754780-5817","https://www.serebii.net/pokedex-swsh/milotic","Water-type","null","350","Milotic","","",""
"1596754826-5840","https://www.serebii.net/pokedex-sm/327.shtml","Normal-type","null","327","Spinda","","",""
"1596753853-5330","https://www.serebii.net/pokedex-swsh/scorbunny","Fire-type","null","813","Scorbunny","","",""
"1596754970-5913","https://www.serebii.net/pokedex-sm/256.shtml","Fire-type","Fighting-type","256","Combusken","","",""
"1596755142-6000","https://www.serebii.net/pokedex-swsh/chinchou","Water-type","Electric-type","170","Chinchou","","",""
"1596754976-5916","https://www.serebii.net/pokedex-sm/253.shtml","Grass-type","null","253","Grovyle","","",""
"1596754083-5451","https://www.serebii.net/pokedex-sm/698.shtml","Rock-type","Ice-type","698","Amaura","","",""
"1596754530-5687","https://www.serebii.net/pokedex-swsh/gallade","Psychic-type","Fighting-type","475","Gallade","","",""
"1596753987-5399","https://www.serebii.net/pokedex-swsh/wishiwashi","Water-type","null","746","Wishiwashi","","",""
"1596754183-5501","https://www.serebii.net/pokedex-sm/648.shtml","Normal-type","Psychic-type","648","Meloetta","Aria Forme","Normal-type","Psychic-type"
"1596755090-5974","https://www.serebii.net/pokedex-swsh/espeon","Psychic-type","null","196","Espeon","","",""
"1596754220-5520","https://www.serebii.net/pokedex-swsh/mandibuzz","Dark-type","Flying-type","630","Mandibuzz","","",""
"1596753811-5309","https://www.serebii.net/pokedex-swsh/drednaw","Water-type","Rock-type","834","Drednaw","","",""
"1596754896-5874","https://www.serebii.net/pokedex-swsh/whismur","Normal-type","null","293","Whismur","","",""
"1596753722-5265","https://www.serebii.net/pokedex-swsh/cufant","Steel-type","null","878","Cufant","","",""
"1596755475-6190","https://www.serebii.net/pokedex-swsh/charizard","Fire-type","Flying-type","6","Charizard","","",""
"1596755288-6076","https://www.serebii.net/pokedex-swsh/krabby","Water-type","null","98","Krabby","","",""
"1596754956-5906","https://www.serebii.net/pokedex-swsh/zigzagoon","Normal-type","Normal-type","263","Zigzagoon","Galarian","Dark-type","Normal-type"
"1596754919-5886","https://www.serebii.net/pokedex-swsh/kirlia","Psychic-type","Fairy-type","281","Kirlia","","",""
"1596754888-5870","https://www.serebii.net/pokedex-sm/297.shtml","Fighting-type","null","297","Hariyama","","",""
"1596755120-5989","https://www.serebii.net/pokedex-sm/181.shtml","Electric-type","null","181","Ampharos","","",""
"1596754816-5835","https://www.serebii.net/pokedex-sm/332.shtml","Grass-type","Dark-type","332","Cacturne","","",""
"1596755054-5956","https://www.serebii.net/pokedex-swsh/heracross","Bug-type","Fighting-type","214","Heracross","","",""
"1596753949-5380","https://www.serebii.net/pokedex-swsh/oranguru","Normal-type","Psychic-type","765","Oranguru","","",""
"1596753957-5384","https://www.serebii.net/pokedex-swsh/bounsweet","Grass-type","null","761","Bounsweet","","",""
"1596754498-5666","https://www.serebii.net/pokedex-sm/491.shtml","Dark-type","null","491","Darkrai","","",""
"1596754400-5616","https://www.serebii.net/pokedex-sm/540.shtml","Bug-type","Grass-type","540","Sewaddle","","",""
"1596754242-5531","https://www.serebii.net/pokedex-swsh/mienfoo","Fighting-type","null","619","Mienfoo","","",""
"1596755472-6189","https://www.serebii.net/pokedex-swsh/squirtle","Water-type","null","7","Squirtle","","",""
"1596754047-5433","https://www.serebii.net/pokedex-sm/716.shtml","Fairy-type","null","716","Xerneas","","",""
"1596755016-5936","https://www.serebii.net/pokedex-swsh/porygon2","Normal-type","null","233","Porygon2","","",""
"1596754488-5660","https://www.serebii.net/pokedex-sm/496.shtml","Grass-type","null","496","Servine","","",""
"1596753899-5355","https://www.serebii.net/pokedex-swsh/cosmoem","Psychic-type","null","790","Cosmoem","","",""
"1596754734-5791","https://www.serebii.net/pokedex-sm/373.shtml","Dragon-type","Flying-type","373","Salamence","","",""
"1596755068-5963","https://www.serebii.net/pokedex-sm/207.shtml","Ground-type","Flying-type","207","Gligar","","",""
"1596755216-6037","https://www.serebii.net/pokedex-swsh/eevee","Normal-type","null","133","Eevee","","",""
"1596754720-5784","https://www.serebii.net/pokedex-sm/380.shtml","Dragon-type","Psychic-type","380","Latias","","",""
"1596755397-6146","https://www.serebii.net/pokedex-swsh/oddish","Grass-type","Poison-type","43","Oddish","","",""
"1596754602-5723","https://www.serebii.net/pokedex-swsh/mimejr.","Psychic-type","Fairy-type","439","Mime Jr.","","",""
"1596755150-6004","https://www.serebii.net/pokedex-sm/166.shtml","Bug-type","Flying-type","166","Ledian","","",""
"1596754500-5667","https://www.serebii.net/pokedex-sm/490.shtml","Water-type","null","490","Manaphy","","",""
"1596754686-5767","https://www.serebii.net/pokedex-sm/397.shtml","Normal-type","Flying-type","397","Staravia","","",""
"1596754562-5703","https://www.serebii.net/pokedex-swsh/snover","Grass-type","Ice-type","459","Snover","","",""
"1596754994-5925","https://www.serebii.net/pokedex-sm/244.shtml","Fire-type","null","244","Entei","","",""
"1596755334-6107","https://www.serebii.net/pokedex-sm/075.shtml","Rock-type","Ground-type","75","Graveler","Normal","Rock-type","Ground-type"
"1596754434-5633","https://www.serebii.net/pokedex-sm/523.shtml","Electric-type","null","523","Zebstrika","","",""
"1596755273-6067","https://www.serebii.net/pokedex-swsh/marowak","Ground-type","Ghost-type","105","Marowak","Normal","Ground-type","null"
"1596755478-6192","https://www.serebii.net/pokedex-swsh/charmander","Fire-type","null","4","Charmander","","",""
"1596753829-5318","https://www.serebii.net/pokedex-swsh/dottler","Bug-type","Psychic-type","825","Dottler","","",""
"1596755306-6086","https://www.serebii.net/pokedex-sm/089.shtml","Poison-type","Dark-type","89","Muk","Alolan","Poison-type","Dark-type"
"1596754952-5902","https://www.serebii.net/pokedex-sm/265.shtml","Bug-type","null","265","Wurmple","","",""
"1596755295-6080","https://www.serebii.net/pokedex-swsh/gengar","Ghost-type","Poison-type","94","Gengar","","",""
"1596754189-5505","https://www.serebii.net/pokedex-sm/645.shtml","Ground-type","Flying-type","645","Landorus","","",""
"1596754909-5881","https://www.serebii.net/pokedex-sm/286.shtml","Grass-type","Fighting-type","286","Breloom","","",""
"1596755064-5961","https://www.serebii.net/pokedex-sm/209.shtml","Fairy-type","null","209","Snubbull","","",""
"1596753791-5299","https://www.serebii.net/pokedex-swsh/sandaconda","Ground-type","null","844","Sandaconda","","",""
"1596754592-5718","https://www.serebii.net/pokedex-sm/444.shtml","Dragon-type","Ground-type","444","Gabite","","",""
"1596755403-6149","https://www.serebii.net/pokedex-swsh/wigglytuff","Normal-type","Fairy-type","40","Wigglytuff","","",""
"1596755361-6123","https://www.serebii.net/pokedex-swsh/poliwhirl","Water-type","null","61","Poliwhirl","","",""
"1596755212-6035","https://www.serebii.net/pokedex-swsh/jolteon","Electric-type","null","135","Jolteon","","",""
"1596755024-5940","https://www.serebii.net/pokedex-sm/229.shtml","Dark-type","Fire-type","229","Houndoom","","",""
"1596754672-5760","https://www.serebii.net/pokedex-swsh/luxio","Electric-type","null","404","Luxio","","",""
"1596754296-5559","https://www.serebii.net/pokedex-swsh/frillish","Water-type","Ghost-type","592","Frillish","","",""
"1596754334-5578","https://www.serebii.net/pokedex-swsh/cinccino","Normal-type","null","573","Cinccino","","",""
"1596755114-5986","https://www.serebii.net/pokedex-swsh/azumarill","Water-type","Fairy-type","184","Azumarill","","",""
"1596754269-5546","https://www.serebii.net/pokedex-swsh/elgyem","Psychic-type","null","605","Elgyem","","",""
"1596754588-5716","https://www.serebii.net/pokedex-swsh/munchlax","Normal-type","null","446","Munchlax","","",""
"1596755424-6161","https://www.serebii.net/pokedex-sm/030.shtml","Poison-type","null","30","Nidorina","","",""
"1596754093-5456","https://www.serebii.net/pokedex-swsh/clawitzer","Water-type","null","693","Clawitzer","","",""
"1596754698-5773","https://www.serebii.net/pokedex-sm/391.shtml","Fire-type","Fighting-type","391","Monferno","","",""
"1596754258-5540","https://www.serebii.net/pokedex-swsh/fraxure","Dragon-type","null","611","Fraxure","","",""
"1596753787-5297","https://www.serebii.net/pokedex-swsh/arrokuda","Water-type","null","846","Arrokuda","","",""
"1596754694-5771","https://www.serebii.net/pokedex-sm/393.shtml","Water-type","null","393","Piplup","","",""
"1596755201-6029","https://www.serebii.net/pokedex-sm/141.shtml","Rock-type","Water-type","141","Kabutops","","",""
"1596755325-6100","https://www.serebii.net/pokedex-swsh/slowpoke","Water-type","Psychic-type","79","Slowpoke","Galarian","Psychic-type","null"
"1596754099-5459","https://www.serebii.net/pokedex-swsh/skrelp","Poison-type","Water-type","690","Skrelp","","",""
"1596754344-5583","https://www.serebii.net/pokedex-swsh/trubbish","Poison-type","null","568","Trubbish","","",""
"1596754939-5896","https://www.serebii.net/pokedex-swsh/lombre","Water-type","Grass-type","271","Lombre","","",""
"1596753752-5280","https://www.serebii.net/pokedex-swsh/perrserker","Steel-type","null","863","Perrserker","","",""
"1596754954-5904","https://www.serebii.net/pokedex-swsh/linoone","Normal-type","Normal-type","264","Linoone","Galarian","Dark-type","Normal-type"
"1596754053-5436","https://www.serebii.net/pokedex-swsh/avalugg","Ice-type","null","713","Avalugg","","",""
"1596754598-5721","https://www.serebii.net/pokedex-sm/441.shtml","Normal-type","Flying-type","441","Chatot","","",""
"1596755236-6047","https://www.serebii.net/pokedex-swsh/scyther","Bug-type","Flying-type","123","Scyther","","",""
"1596755214-6036","https://www.serebii.net/pokedex-swsh/vaporeon","Water-type","null","134","Vaporeon","","",""
"1596754758-5803","https://www.serebii.net/pokedex-swsh/snorunt","Ice-type","null","361","Snorunt","","",""
"1596754039-5429","https://www.serebii.net/pokedex-sm/720.shtml","Psychic-type","Ghost-type","720","Hoopa","Hoopa Unbound","Psychic-type","Dark-type"
"1596754089-5454","https://www.serebii.net/pokedex-swsh/heliolisk","Electric-type","Normal-type","695","Heliolisk","","",""
"1596754618-5731","https://www.serebii.net/pokedex-sm/431.shtml","Normal-type","null","431","Glameow","","",""
"1596754005-5411","https://www.serebii.net/pokedex-swsh/charjabug","Bug-type","Electric-type","737","Charjabug","","",""
"1596754776-5812","https://www.serebii.net/pokedex-sm/352.shtml","Normal-type","null","352","Kecleon","","",""
"1596755257-6058","https://www.serebii.net/pokedex-swsh/chansey","Normal-type","null","113","Chansey","","",""
"1596754996-5926","https://www.serebii.net/pokedex-sm/243.shtml","Electric-type","null","243","Raikou","","",""
"1596754982-5919","https://www.serebii.net/pokedex-sm/250.shtml","Fire-type","Flying-type","250","Ho-Oh","","",""
"1596754107-5463","https://www.serebii.net/pokedex-swsh/inkay","Dark-type","Psychic-type","686","Inkay","","",""
"1596754123-5471","https://www.serebii.net/pokedex-swsh/meowstic","Psychic-type","null","678","Meowstic","","",""
"1596755461-6183","https://www.serebii.net/pokedex-sm/013.shtml","Bug-type","Poison-type","13","Weedle","","",""
"1596754778-5816","https://www.serebii.net/pokedex-sm/351.shtml","Normal-type","null","351","Castform","Snowy Form","Ice-type","null"
"1596755357-6121","https://www.serebii.net/pokedex-swsh/abra","Psychic-type","null","63","Abra","","",""
"1596754882-5867","https://www.serebii.net/pokedex-sm/300.shtml","Normal-type","null","300","Skitty","","",""
"1596755108-5983","https://www.serebii.net/pokedex-sm/187.shtml","Grass-type","Flying-type","187","Hoppip","","",""
"1596754954-5903","https://www.serebii.net/pokedex-swsh/linoone","Normal-type","Normal-type","264","Linoone","Normal","Normal-type","null"
"1596754560-5702","https://www.serebii.net/pokedex-swsh/abomasnow","Grass-type","Ice-type","460","Abomasnow","","",""
"1596754023-5420","https://www.serebii.net/pokedex-swsh/popplio","Water-type","null","728","Popplio","","",""
"1596754852-5852","https://www.serebii.net/pokedex-swsh/roselia","Grass-type","Poison-type","315","Roselia","","",""
"1596754980-5918","https://www.serebii.net/pokedex-swsh/celebi","Psychic-type","Grass-type","251","Celebi","","",""
"1596754224-5522","https://www.serebii.net/pokedex-swsh/braviary","Normal-type","Flying-type","628","Braviary","","",""
"1596755410-6153","https://www.serebii.net/pokedex-swsh/vulpix","Fire-type","null","37","Vulpix","Normal","Fire-type","null"
"1596754037-5427","https://www.serebii.net/pokedex-sm/721.shtml","Fire-type","Water-type","721","Volcanion","","",""
"1596753925-5368","https://www.serebii.net/pokedex-swsh/togedemaru","Electric-type","Steel-type","777","Togedemaru","","",""
"1596755074-5966","https://www.serebii.net/pokedex-sm/204.shtml","Bug-type","null","204","Pineco","","",""
"1596755482-6194","https://www.serebii.net/pokedex-swsh/ivysaur","Grass-type","Poison-type","2","Ivysaur","","",""
"1596755207-6032","https://www.serebii.net/pokedex-sm/138.shtml","Rock-type","Water-type","138","Omanyte","","",""
"1596755072-5965","https://www.serebii.net/pokedex-sm/205.shtml","Bug-type","Steel-type","205","Forretress","","",""
"1596754101-5460","https://www.serebii.net/pokedex-swsh/barbaracle","Rock-type","Water-type","689","Barbaracle","","",""
"1596754972-5914","https://www.serebii.net/pokedex-sm/255.shtml","Fire-type","null","255","Torchic","","",""
"1596755377-6131","https://www.serebii.net/pokedex-swsh/persian","Normal-type","null","53","Persian","Normal","Normal-type","null"
"1596754654-5750","https://www.serebii.net/pokedex-sm/413.shtml","Bug-type","Grass-type","413","Wormadam","Sandy Cloak","Bug-type","Ground-type"
"1596754574-5709","https://www.serebii.net/pokedex-swsh/croagunk","Poison-type","Fighting-type","453","Croagunk","","",""
"1596754750-5799","https://www.serebii.net/pokedex-sm/365.shtml","Ice-type","Water-type","365","Walrein","","",""
"1596754968-5912","https://www.serebii.net/pokedex-sm/257.shtml","Fire-type","Fighting-type","257","Blaziken","","",""
"1596754021-5419","https://www.serebii.net/pokedex-swsh/brionne","Water-type","null","729","Brionne","","",""
"1596755084-5971","https://www.serebii.net/pokedex-swsh/slowking","Water-type","Psychic-type","199","Slowking","","",""
"1596754097-5458","https://www.serebii.net/pokedex-swsh/dragalge","Poison-type","Dragon-type","691","Dragalge","","",""
"1596753793-5300","https://www.serebii.net/pokedex-swsh/silicobra","Ground-type","null","843","Silicobra","","",""
"1596754232-5526","https://www.serebii.net/pokedex-swsh/pawniard","Dark-type","Steel-type","624","Pawniard","","",""
"1596755128-5993","https://www.serebii.net/pokedex-swsh/natu","Psychic-type","Flying-type","177","Natu","","",""
"1596754600-5722","https://www.serebii.net/pokedex-swsh/happiny","Normal-type","null","440","Happiny","","",""
"1596754309-5566","https://www.serebii.net/pokedex-sm/585.shtml","Normal-type","Grass-type","585","Deerling","","",""
"1596754356-5589","https://www.serebii.net/pokedex-swsh/yamask","Ghost-type","Ghost-type","562","Yamask","Normal","Ghost-type","null"
"1596753837-5322","https://www.serebii.net/pokedex-swsh/rookidee","Flying-type","null","821","Rookidee","","",""
"1596755104-5981","https://www.serebii.net/pokedex-sm/189.shtml","Grass-type","Flying-type","189","Jumpluff","","",""
"1596755258-6059","https://www.serebii.net/pokedex-swsh/rhydon","Ground-type","Rock-type","112","Rhydon","","",""
"1596754280-5551","https://www.serebii.net/pokedex-swsh/klang","Steel-type","null","600","Klang","","",""
"1596754161-5490","https://www.serebii.net/pokedex-swsh/bunnelby","Normal-type","null","659","Bunnelby","","",""
"1596754227-5524","https://www.serebii.net/pokedex-swsh/bouffalant","Normal-type","null","626","Bouffalant","","",""
"1596754450-5641","https://www.serebii.net/pokedex-sm/515.shtml","Water-type","null","515","Panpour","","",""
"1596754282-5552","https://www.serebii.net/pokedex-swsh/klink","Steel-type","null","599","Klink","","",""
"1596753813-5310","https://www.serebii.net/pokedex-swsh/chewtle","Water-type","null","833","Chewtle","","",""
"1596754923-5888","https://www.serebii.net/pokedex-swsh/pelipper","Water-type","Flying-type","279","Pelipper","","",""
"1596754768-5808","https://www.serebii.net/pokedex-swsh/dusclops","Ghost-type","null","356","Dusclops","","",""
"1596754660-5754","https://www.serebii.net/pokedex-sm/410.shtml","Rock-type","Steel-type","410","Shieldon","","",""
"1596754342-5582","https://www.serebii.net/pokedex-swsh/garbodor","Poison-type","null","569","Garbodor","","",""
"1596755271-6066","https://www.serebii.net/pokedex-swsh/hitmonlee","Fighting-type","null","106","Hitmonlee","","",""
"1596754159-5489","https://www.serebii.net/pokedex-swsh/diggersby","Normal-type","Ground-type","660","Diggersby","","",""
"1596754214-5517","https://www.serebii.net/pokedex-swsh/deino","Dark-type","Dragon-type","633","Deino","","",""
"1596754902-5877","https://www.serebii.net/pokedex-swsh/nincada","Bug-type","Ground-type","290","Nincada","","",""
"1596753797-5302","https://www.serebii.net/pokedex-swsh/flapple","Grass-type","Dragon-type","841","Flapple","","",""
"1596754754-5801","https://www.serebii.net/pokedex-sm/363.shtml","Ice-type","Water-type","363","Spheal","","",""
"1596754065-5442","https://www.serebii.net/pokedex-swsh/klefki","Steel-type","Fairy-type","707","Klefki","","",""
"1596754466-5649","https://www.serebii.net/pokedex-swsh/herdier","Normal-type","null","507","Herdier","","",""
"1596754654-5749","https://www.serebii.net/pokedex-sm/413.shtml","Bug-type","Grass-type","413","Wormadam","Plant Cloak","Bug-type","Grass-type"
"1596754095-5457","https://www.serebii.net/pokedex-swsh/clauncher","Water-type","null","692","Clauncher","","",""
"1596754612-5728","https://www.serebii.net/pokedex-swsh/stunky","Poison-type","Dark-type","434","Stunky","","",""
"1596754217-5519","https://www.serebii.net/pokedex-swsh/heatmor","Fire-type","null","631","Heatmor","","",""
"1596755430-6166","https://www.serebii.net/pokedex-swsh/sandshrew","Ground-type","Steel-type","27","Sandshrew","Alolan","Ice-type","Steel-type"
"1596755265-6063","https://www.serebii.net/pokedex-swsh/koffing","Poison-type","null","109","Koffing","","",""
"1596755339-6112","https://www.serebii.net/pokedex-swsh/tentacool","Water-type","Poison-type","72","Tentacool","","",""
"1596755190-6024","https://www.serebii.net/pokedex-sm/146.shtml","Fire-type","Flying-type","146","Moltres","","",""
"1596754648-5746","https://www.serebii.net/pokedex-swsh/vespiquen","Bug-type","Flying-type","416","Vespiquen","","",""
"1596753724-5266","https://www.serebii.net/pokedex-swsh/morpeko","Electric-type","Dark-type","877","Morpeko","","",""
"1596753969-5390","https://www.serebii.net/pokedex-swsh/morelull","Grass-type","Fairy-type","755","Morelull","","",""
"1596754522-5678","https://www.serebii.net/pokedex-swsh/rotom","Electric-type","Ghost-type","479","Rotom","Rotom","Electric-type","Ghost-type"
"1596754063-5441","https://www.serebii.net/pokedex-swsh/phantump","Ghost-type","Grass-type","708","Phantump","","",""
"1596755388-6141","https://www.serebii.net/pokedex-sm/048.shtml","Bug-type","Poison-type","48","Venonat","","",""
"1596753979-5395","https://www.serebii.net/pokedex-swsh/mudsdale","Ground-type","null","750","Mudsdale","","",""
"1596754792-5823","https://www.serebii.net/pokedex-swsh/claydol","Ground-type","Psychic-type","344","Claydol","","",""
"1596754546-5695","https://www.serebii.net/pokedex-sm/467.shtml","Fire-type","null","467","Magmortar","","",""
"1596753704-5256","https://www.serebii.net/pokedex-swsh/dragapult","Dragon-type","Ghost-type","887","Dragapult","","",""
"1596755208-6033","https://www.serebii.net/pokedex-swsh/porygon","Normal-type","null","137","Porygon","","",""
"1596755327-6102","https://www.serebii.net/pokedex-swsh/rapidash","Fire-type","Fairy-type","78","Rapidash","Galarian","Psychic-type","Fairy-type"
"1596753955-5383","https://www.serebii.net/pokedex-swsh/steenee","Grass-type","null","762","Steenee","","",""
"1596754578-5711","https://www.serebii.net/pokedex-swsh/skorupi","Poison-type","Bug-type","451","Skorupi","","",""
"1596754604-5724","https://www.serebii.net/pokedex-swsh/bonsly","Rock-type","null","438","Bonsly","","",""
"1596753895-5353","https://www.serebii.net/pokedex-swsh/lunala","Psychic-type","Ghost-type","792","Lunala","","",""
"1596755383-6138","https://www.serebii.net/pokedex-swsh/diglett","Ground-type","Steel-type","50","Diglett","Normal","Ground-type","null"
"1596754045-5432","https://www.serebii.net/pokedex-sm/717.shtml","Dark-type","Flying-type","717","Yveltal","","",""
"1596754406-5619","https://www.serebii.net/pokedex-swsh/seismitoad","Water-type","Ground-type","537","Seismitoad","","",""
"1596753851-5329","https://www.serebii.net/pokedex-swsh/raboot","Fire-type","null","814","Raboot","","",""
"1596753953-5382","https://www.serebii.net/pokedex-swsh/tsareena","Grass-type","null","763","Tsareena","","",""
"1596754622-5733","https://www.serebii.net/pokedex-sm/429.shtml","Ghost-type","null","429","Mismagius","","",""
"1596753833-5320","https://www.serebii.net/pokedex-swsh/corviknight","Flying-type","Steel-type","823","Corviknight","","",""
"1596755164-6011","https://www.serebii.net/pokedex-sm/159.shtml","Water-type","null","159","Croconaw","","",""
"1596754300-5561","https://www.serebii.net/pokedex-swsh/foongus","Grass-type","Poison-type","590","Foongus","","",""
"1596754312-5567","https://www.serebii.net/pokedex-swsh/vanilluxe","Ice-type","null","584","Vanilluxe","","",""
"1596754247-5535","https://www.serebii.net/pokedex-swsh/shelmet","Bug-type","null","616","Shelmet","","",""
"1596754017-5417","https://www.serebii.net/pokedex-sm/731.shtml","Normal-type","Flying-type","731","Pikipek","","",""
"1596754294-5558","https://www.serebii.net/pokedex-swsh/jellicent","Water-type","Ghost-type","593","Jellicent","","",""
"1596755106-5982","https://www.serebii.net/pokedex-sm/188.shtml","Grass-type","Flying-type","188","Skiploom","","",""
"1596755442-6173","https://www.serebii.net/pokedex-sm/021.shtml","Normal-type","Flying-type","21","Spearow","","",""
"1596754917-5885","https://www.serebii.net/pokedex-swsh/gardevoir","Psychic-type","Fairy-type","282","Gardevoir","","",""
