link,name,typeImageLink,categoryImageLink,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact
https://www.serebii.net/attackdex-swsh/lunge.shtml,Lunge,img/bug.gif,img/physical.png,80,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",Lowers opponent's Attack one stage.,100%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/destinybond.shtml,Destiny Bond,img/ghost.gif,img/other.png,0,"After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession.","If the user faints, the opponent will also faint. Will fail on successive uses.",-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/disarmingvoice.shtml,Disarming Voice,img/fairy.gif,img/special.png,40,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.",Never Misses.,-- %,0,4.17%,All Adjacent Foes,No
https://www.serebii.net/attackdex-swsh/sleeptalk.shtml,Sleep Talk,img/normal.gif,img/other.png,0,"While it is asleep, the user randomly uses one of the moves it knows.",Uses an own random move while asleep.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-sm/subzeroslammer.shtml,Subzero Slammer,img/ice.gif,img/physical.png,1,"The user dramatically drops the temperature using its Z-Power and freezes the target with full force. The power varies, depending on the original move.",No effect.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/lock-on.shtml,Lock-On,img/normal.gif,img/other.png,0,The user takes sure aim at the target. This ensures the next attack does not miss the target.,Ensures that user's next move will not fail.,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-sm/punishment.shtml,Punishment,img/dark.gif,img/physical.png,1,"The more the target has powered up with stat changes, the greater the move's power.",Increases damage inflicted based on the opponent's stat boosts,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/yawn.shtml,Yawn,img/normal.gif,img/other.png,0,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.,Target falls asleep during the next turn.,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/g-maxgravitas.shtml,G-Max Gravitas,img/psychic.gif,img/physical.png,1,A Psychic-type attack that Gigantamax Orbeetle use. This move changes gravity for five turns.,Removes Ground-type resistance. Prevents certain moves from being used. Lowers all Pokémon's Evasion two stages,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-sm/bubble.shtml,Bubble,img/water.gif,img/special.png,40,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.,May lower opponent's Speed one stage.,10%,0,4.17%,All Adjacent Foes,No
https://www.serebii.net/attackdex-swsh/crosspoison.shtml,Cross Poison,img/poison.gif,img/physical.png,70,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.,Has high critical hit ratio. May induce poison.,10%,0,12.50%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/mist.shtml,Mist,img/ice.gif,img/other.png,0,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,Stops stat reduction.,-- %,0,None,Ally,No
https://www.serebii.net/attackdex-swsh/octolock.shtml,Octolock,img/fighting.gif,img/other.png,0,The user locks the target in and prevents it from fleeing. This move also lowers the target's Defense and Sp. Def every turn.,Lowers target's Defense and Special Defense by 1 stage at the end of each turn. Prevents target from retreating,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/peck.shtml,Peck,img/flying.gif,img/physical.png,35,The target is jabbed with a sharply pointed beak or horn.,No effect.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/taunt.shtml,Taunt,img/dark.gif,img/other.png,0,The target is taunted into a rage that allows it to use only attack moves for three turns.,The opponent can only use damaging moves for three turns,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/soft-boiled.shtml,Soft-Boiled,img/normal.gif,img/other.png,0,The user restores its own HP by up to half of its max HP.,User recovers half the maximum HP.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/earthquake.shtml,Earthquake,img/ground.gif,img/physical.png,100,The user sets off an earthquake that strikes every Pokémon around it.,Hits everyone on the field.,-- %,0,4.17%,All Adjacent Pokémon,No
https://www.serebii.net/attackdex-swsh/wrap.shtml,Wrap,img/normal.gif,img/physical.png,15,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns.",Traps opponent.,100%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-sm/searingsunrazesmash.shtml,Searing Sunraze Smash,img/steel.gif,img/physical.png,200,"After obtaining Z-Power, the user, Solgaleo, attacks the target with full force. This move can ignore the effect of the target's Ability.",Ignores abilities,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/supersonic.shtml,Supersonic,img/normal.gif,img/other.png,0,The user generates odd sound waves from its body that confuse the target.,Induces Confusion,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/jawlock.shtml,Jaw Lock,img/dark.gif,img/physical.png,80,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.,Prevents both the user and the target from escaping,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/flowershield.shtml,Flower Shield,img/fairy.gif,img/other.png,0,The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.,Raises Defense of Grass-type Pokémon by 1 stage.,100%,0,None,All,No
https://www.serebii.net/attackdex-swsh/rockpolish.shtml,Rock Polish,img/rock.gif,img/other.png,0,The user polishes its body to reduce drag. This sharply raises the Speed stat.,Raises user's Speed two stages.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/muddywater.shtml,Muddy Water,img/water.gif,img/special.png,90,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.,May lower opponent's Accuracy one stage.,30%,0,4.17%,All Adjacent Foes,No
https://www.serebii.net/attackdex-sm/bloomdoom.shtml,Bloom Doom,img/grass.gif,img/physical.png,1,"The user collects energy from plants using its Z-Power and attacks the target with full force. The power varies, depending on the original move.",No effect.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/spikyshield.shtml,Spiky Shield,img/grass.gif,img/other.png,0,"In addition to protecting the user from attacks, this move also damages any attacker that makes direct contact.",Damages by 1/8th Maximum Hit Points if hit by physical contact.,-- %,4,None,Self,No
https://www.serebii.net/attackdex-swsh/spiritbreak.shtml,Spirit Break,img/fairy.gif,img/physical.png,75,The user attacks the target with so much force that it could break the target's spirit. This also lowers the target's Sp. Atk stat.,Lowers opponent's Sp. Atk one stage,100%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/infestation.shtml,Infestation,img/bug.gif,img/special.png,20,The target is infested and attacked for four to five turns. The target can't flee during this time.,Traps opponent.,100%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/originpulse.shtml,Origin Pulse,img/water.gif,img/special.png,110,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.,No effect.,-- %,0,4.17%,All Adjacent Foes,No
https://www.serebii.net/attackdex-swsh/wonderroom.shtml,Wonder Room,img/psychic.gif,img/other.png,0,The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns.,Switches Defense & Special Defense for five turns for all Pokémon on the field,-- %,0,None,Field,No
https://www.serebii.net/attackdex-swsh/rollout.shtml,Rollout,img/rock.gif,img/physical.png,30,The user continually rolls into the target over five turns. It becomes more powerful each time it hits.,Uses the same move for 5 turns; move's power raises if it hits.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-sm/snatch.shtml,Snatch,img/dark.gif,img/other.png,0,The user steals the effects of any attempts to use a healing or stat-changing move.,Steals the effects of opponent's next move if it is not a damaging move.,-- %,4,None,Self,No
https://www.serebii.net/attackdex-swsh/fellstinger.shtml,Fell Stinger,img/bug.gif,img/physical.png,50,"When the user knocks out a target with this move, the user's Attack stat rises drastically.",Raises user's Attack three stages if it knocks the target out.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-sm/sizzlyslide.shtml,Sizzly Slide,img/fire.gif,img/physical.png,90,The user cloaks itself in fire and charges at the target. This also leaves the target with a burn.,Induces burn.,100%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/dragonpulse.shtml,Dragon Pulse,img/dragon.gif,img/special.png,85,The target is attacked with a shock wave generated by the user's gaping mouth.,No effect.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/metronome.shtml,Metronome,img/normal.gif,img/other.png,0,The user waggles a finger and stimulates its brain into randomly using nearly any move.,Uses a random move.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/prismaticlaser.shtml,Prismatic Laser,img/psychic.gif,img/special.png,160,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,User cannot Attack on the next turn.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/poisonjab.shtml,Poison Jab,img/poison.gif,img/physical.png,80,"The target is stabbed with a tentacle, arm, or the like steeped in poison. This may also poison the target.",May induce poison.,30%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/mindreader.shtml,Mind Reader,img/normal.gif,img/other.png,0,The user senses the target's movements with its mind to ensure its next attack does not miss the target.,Ensures that user's next move will not fail.,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/powder.shtml,Powder,img/bug.gif,img/other.png,0,"The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target.",Damages Pokémon by 25% of max Hit Points if they use a Fire-type move in the turn hit by this Attack,-- %,1,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/u-turn.shtml,U-turn,img/bug.gif,img/physical.png,70,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",Pokémon switches out from battle,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-sm/clangoroussoulblaze.shtml,Clangorous Soulblaze,img/dragon.gif,img/special.png,185,"After obtaining Z-Power, the user, Kommo-o, attacks the opposing Pokémon with full force. This move boosts the user's stats.",May raise all user's stats one stage.,-- %,0,4.17%,All Adjacent Foes,No
https://www.serebii.net/attackdex-swsh/boomburst.shtml,Boomburst,img/normal.gif,img/special.png,140,"The user attacks everything around it with the destructive power of a terrible, explosive sound.",No effect.,-- %,0,4.17%,All Adjacent Pokémon,No
https://www.serebii.net/attackdex-swsh/lightofruin.shtml,Light of Ruin,img/fairy.gif,img/special.png,140,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot.",User receives half the damage inflicted in recoil,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/grasspledge.shtml,Grass Pledge,img/grass.gif,img/special.png,80,"A column of grass hits the target. When used with its water equivalent, its power increases and a vast swamp appears.","If combined with Water Oath, lowers opponent's Speed one stage for four turns.",-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/lifedew.shtml,Life Dew,img/water.gif,img/other.png,0,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon in the battle.,Heals the Hit Points of the user and ally by 25%,-- %,0,None,Allies,No
https://www.serebii.net/attackdex-swsh/aircutter.shtml,Air Cutter,img/flying.gif,img/special.png,60,The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.,Has an increased Critical Hit ratio,-- %,0,12.50%,All Adjacent Foes,No
https://www.serebii.net/attackdex-sm/extremeevoboost.shtml,Extreme Evoboost,img/normal.gif,img/other.png,0,"After obtaining Z-Power, the user, Eevee, gets energy from its evolved friends and boosts its stats sharply.",Raises all user's stats by 2 stages,100%,0,None,Self,No
https://www.serebii.net/attackdex-swsh/rest.shtml,Rest,img/psychic.gif,img/other.png,0,The user goes to sleep for two turns. This fully restores the user's HP and heals any status conditions.,"User restores health, then sleeps.",-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/g-maxterror.shtml,G-Max Terror,img/ghost.gif,img/physical.png,1,A Ghost-type attack that Gigantamax Gengar use. This PokÃ©mon steps on the opposing PokÃ©monâ€™s shadow to prevent them from escaping.,Prevents the opponent from escaping.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/leer.shtml,Leer,img/normal.gif,img/other.png,0,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.,Lowers opponent's Defense one stage.,100%,0,None,All Adjacent Foes,No
https://www.serebii.net/attackdex-sm/doubleslap.shtml,Double Slap,img/normal.gif,img/physical.png,15,"The target is slapped repeatedly, back and forth, two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits",-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/poisonsting.shtml,Poison Sting,img/poison.gif,img/physical.png,15,The user stabs the target with a poisonous stinger. This may also poison the target.,May induce poison.,30%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-sm/guardianofalola.shtml,Guardian of Alola,img/fairy.gif,img/special.png,1,"The user, the Land Spirit Pokémon, obtains Alola's energy using its Z-Power and attacks the target with full force. This reduces the target's HP greatly.",Removes 75% of the target's Hit Points,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/dragontail.shtml,Dragon Tail,img/dragon.gif,img/physical.png,60,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",Forces opponent to switch Pokémon.,-- %,-6,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/whirlwind.shtml,Whirlwind,img/normal.gif,img/other.png,0,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",Ends wild battles.,-- %,-6,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/vinewhip.shtml,Vine Whip,img/grass.gif,img/physical.png,45,"The target is struck with slender, whiplike vines to inflict damage.",No effect.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/sweetscent.shtml,Sweet Scent,img/normal.gif,img/other.png,0,A sweet scent that harshly lowers opposing Pokémon's evasiveness.,Lowers opponent's Evasion two stages.,-- %,0,None,All Adjacent Foes,No
https://www.serebii.net/attackdex-swsh/firstimpression.shtml,First Impression,img/bug.gif,img/physical.png,90,"Although this move has great power, it only works the first turn each time the user enters battle.",Only works on first turn user is in battle,-- %,2,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/throatchop.shtml,Throat Chop,img/dark.gif,img/physical.png,80,"The user attacks the target's throat, and the resultant suffering prevents the target from using moves that emit sound for two turns.",Prevents target from using Sound moves for 2 turns,100%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/fairywind.shtml,Fairy Wind,img/fairy.gif,img/special.png,40,The user stirs up a fairy wind and strikes the target with it.,No effect.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/ancientpower.shtml,Ancient Power,img/rock.gif,img/special.png,60,The user attacks with a prehistoric power. This may also raise all the user's stats at once.,May raise all user's stats one stage.,10%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/swordsdance.shtml,Swords Dance,img/normal.gif,img/other.png,0,A frenetic dance to uplift the fighting spirit. This sharply raises the user's Attack stat.,Raises user's Attack two stages.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/lick.shtml,Lick,img/ghost.gif,img/physical.png,30,"The target is licked with a long tongue, causing damage. This may also leave the target with paralysis.",May induce paralysis.,30%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/zapcannon.shtml,Zap Cannon,img/electric.gif,img/special.png,120,The user fires an electric blast like a cannon to inflict damage and cause paralysis.,May induce paralysis.,100%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/watershuriken.shtml,Water Shuriken,img/water.gif,img/special.png,15,The user hits the target with throwing stars two to five times in a row. This move always goes first.,"Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits
Base Power increased to 20 if Battle Bond has activated and will hit 3 times guaranteed.",-- %,1,4.17%,Selected Target,No
https://www.serebii.net/attackdex-sm/ominouswind.shtml,Ominous Wind,img/ghost.gif,img/special.png,60,The user blasts the target with a gust of repulsive wind. This may also raise all the user's stats at once.,May raise all user's stats one stage.,10%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/king'sshield.shtml,King's Shield,img/steel.gif,img/other.png,0,The user takes a defensive stance while it protects itself from damage. It also lowers the Attack stat of any attacker that makes direct contact.,Lowers opponent's Attack one stage if hit by physical contact. Fails on successive uses,-- %,4,None,Self,No
https://www.serebii.net/attackdex-swsh/grassyglide.shtml,Grassy Glide,img/grass.gif,img/physical.png,70,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain.",Increases priority in Grassy Terrain,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/uproar.shtml,Uproar,img/normal.gif,img/special.png,90,"The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep.",Hits for 3 turns. No Pokémon can be Asleep during that time.,-- %,0,4.17%,Random Target,No
https://www.serebii.net/attackdex-swsh/absorb.shtml,Absorb,img/grass.gif,img/special.png,20,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,User recovers half the damage inflicted.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-sm/mefirst.shtml,Me First,img/normal.gif,img/other.png,1,The user cuts ahead of the target to copy and use the target's intended move with greater power. This move fails if it isn't used first.,Users the target's move before the target Pokémon,-- %,0,None,adjacentFoe,No
https://www.serebii.net/attackdex-sm/return.shtml,Return,img/normal.gif,img/physical.png,1,This full-power attack grows more powerful the more the user likes its Trainer.,"The happier the user, the stronger the Attack.",-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/roost.shtml,Roost,img/flying.gif,img/other.png,0,The user lands and rests its body. This move restores the user's HP by up to half of its max HP.,Heals up to 50% of maximum Hit Points. Flying-type Pokémon are no longer Flying-type for the rest of the turn.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/dualchop.shtml,Dual Chop,img/dragon.gif,img/physical.png,40,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.,Attacks twice in a row.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/megahorn.shtml,Megahorn,img/bug.gif,img/physical.png,120,"Using its tough and impressive horn, the user rams into the target with no letup.",No effect.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/branchpoke.shtml,Branch Poke,img/grass.gif,img/physical.png,40,The user attacks the target by poking it with a sharply pointed branch.,No effect.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/dynamaxcannon.shtml,Dynamax Cannon,img/dragon.gif,img/special.png,100,The user unleashes a strong beam from its core. This move deals twice the damage if the target is Dynamaxed.,Increases damage by 100% if target is Dynamaxed,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/g-maxmalodor.shtml,G-Max Malodor,img/poison.gif,img/physical.png,1,A Poison-type attack that Gigantamax Garbodor use. This move poisons opponents.,Induces Poison.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/dragonrush.shtml,Dragon Rush,img/dragon.gif,img/physical.png,100,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.,May cause opponent to flinch.,20%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/forest'scurse.shtml,Forest's Curse,img/grass.gif,img/other.png,0,The user puts a forest curse on the target. The target is now Grass type as well.,Target gains the Grass-type,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/wildcharge.shtml,Wild Charge,img/electric.gif,img/physical.png,90,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.,User takes recoil damage equal to 25% of the damage inflicted.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/g-maxrapidflow.shtml,G-Max Rapid Flow,img/water.gif,img/physical.png,1,A Water-type attack that Gigantamax Urshifu use. This rapid-strike move can ignore Max Guard.,Ignores & removes Protect & Detect,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/bugbuzz.shtml,Bug Buzz,img/bug.gif,img/special.png,90,The user generates a damaging sound wave by vibration. This may also lower the target's Sp. Def stat.,May lower opponent's Special Defense one stage.,10%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/magicpowder.shtml,Magic Powder,img/psychic.gif,img/other.png,0,The user scatters a cloud of magic powder that changes the target to Psychic type.,Changes target\'s type to Psychic-type,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/aquatail.shtml,Aqua Tail,img/water.gif,img/physical.png,90,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,No effect.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/volttackle.shtml,Volt Tackle,img/electric.gif,img/physical.png,120,The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.,User receives 1/3rd of damage in re-coil. May PARALYZE opponent.,10%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/faketears.shtml,Fake Tears,img/dark.gif,img/other.png,0,"The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.",Lowers opponent's Special Defense two stages.,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-sm/barrier.shtml,Barrier,img/psychic.gif,img/other.png,0,The user throws up a sturdy wall that sharply raises its Defense stat.,Raises user's Defense two stages.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/psychicterrain.shtml,Psychic Terrain,img/psychic.gif,img/other.png,0,This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.,Activates Psychic Terrain,-- %,0,None,Field,No
https://www.serebii.net/attackdex-swsh/phantomforce.shtml,Phantom Force,img/ghost.gif,img/physical.png,90,"The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.","The user is protected the first turn, Attacks the second turn. Hits through Protect",-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/sunsteelstrike.shtml,Sunsteel Strike,img/steel.gif,img/physical.png,100,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Abilities.,Ignores abilities,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/speedswap.shtml,Speed Swap,img/psychic.gif,img/other.png,0,The user exchanges Speed stats with the target.,Switches Speed stat with target,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/headcharge.shtml,Head Charge,img/normal.gif,img/physical.png,120,"The user charges its head into its target, using its powerful guard hair. This also damages the user a little.",User takes recoil damage equal to 25% of the damage inflicted.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/reflect.shtml,Reflect,img/psychic.gif,img/other.png,0,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.,Halves Attack damage inflicted on the user's side of the field,-- %,0,None,Ally,No
https://www.serebii.net/attackdex-swsh/glare.shtml,Glare,img/normal.gif,img/other.png,0,The user intimidates the target with the pattern on its belly to cause paralysis.,Induces Paralysis,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/shiftgear.shtml,Shift Gear,img/steel.gif,img/other.png,0,"The user rotates its gears, raising its Attack stat and sharply raising its Speed stat.",Raises user's Attack one stage. Raises user's Speed two stages.,-- %,0,None,Self,No
https://www.serebii.net/attackdex-swsh/drumbeating.shtml,Drum Beating,img/grass.gif,img/physical.png,80,"The user plays its drum, controlling the drum's roots to attack the target. This also lowers the target's Speed stat.",Lowers opponent's Speed one stage.,100%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/steameruption.shtml,Steam Eruption,img/water.gif,img/special.png,110,The user immerses the target in superheated steam. This may also leave the target with a burn.,May induce burn.,30%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/g-maxcentiferno.shtml,G-Max Centiferno,img/fire.gif,img/physical.png,1,A Fire-type attack that Gigantamax Centiskorch use. This move traps opponents in flames for four to five turns.,Traps opponent.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/tickle.shtml,Tickle,img/normal.gif,img/other.png,0,"The user tickles the target into laughing, reducing its Attack and Defense stats.",Lowers opponent's Attack and Defense one stage.,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/risingvoltage.shtml,Rising Voltage,img/electric.gif,img/special.png,70,The user attacks with electric voltage rising from the ground. This move's power doubles when the target is on Electric Terrain.,Doubles damage during Electric Terrain.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/tackle.shtml,Tackle,img/normal.gif,img/physical.png,40,A physical attack in which the user charges and slams into the target with its whole body.,No effect.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-sm/supersonicskystrike.shtml,Supersonic Skystrike,img/flying.gif,img/physical.png,1,"The user soars up with its Z-Power and plummets toward the target at full speed. The power varies, depending on the original move.",No effect.,-- %,0,4.17%,Selected Target,No
